XLEw(m);ScaleFact;bc(m);XLEc(m);ScaleFact;Ecruise;WTO (kg);CLmax clean;M.S.S(%)
19.00;0.95;8.50;5.50;1.20;18.25;54919.56;2.71;-0.13
19.00;0.95;8.50;5.50;1.25;18.24;54943.98;2.80;-0.14
19.00;0.95;8.50;6.00;1.00;18.27;54823.36;2.29;-0.08
19.00;0.95;8.50;6.00;1.05;18.26;54847.17;2.38;-0.09
19.00;0.95;8.50;6.00;1.10;18.25;54871.15;2.47;-0.10
19.00;0.95;8.50;6.00;1.15;18.25;54895.28;2.56;-0.11
19.00;0.95;8.50;6.00;1.20;18.24;54919.56;2.64;-0.12
19.00;0.95;8.50;6.00;1.25;18.23;54943.98;2.73;-0.13
19.00;0.95;8.50;6.50;1.00;18.26;54823.36;2.24;-0.07
19.00;0.95;8.50;6.50;1.05;18.26;54847.17;2.32;-0.08
19.00;0.95;8.50;6.50;1.10;18.25;54871.15;2.41;-0.09
19.00;0.95;8.50;6.50;1.15;18.24;54895.28;2.49;-0.10
19.00;0.95;8.50;6.50;1.20;18.24;54919.56;2.58;-0.10
19.00;0.95;8.50;6.50;1.25;18.23;54943.98;2.66;-0.11
19.00;0.95;8.50;7.00;1.00;18.26;54823.36;2.18;-0.06
19.00;0.95;8.50;7.00;1.05;18.25;54847.17;2.26;-0.07
19.00;0.95;8.50;7.00;1.10;18.24;54871.15;2.35;-0.07
19.00;0.95;8.50;7.00;1.15;18.24;54895.28;2.43;-0.08
19.00;0.95;8.50;7.00;1.20;18.23;54919.56;2.51;-0.09
19.00;0.95;8.50;7.00;1.25;18.22;54943.98;2.59;-0.10
19.00;0.95;9.00;4.00;1.00;18.28;54851.39;2.63;-0.16
19.00;0.95;9.00;4.00;1.05;18.27;54876.82;2.74;-0.18
19.00;0.95;9.00;4.00;1.10;18.26;54902.41;2.84;-0.19
19.00;0.95;9.00;4.00;1.15;18.26;54928.16;2.94;-0.20
19.00;0.95;9.00;4.00;1.20;18.25;54954.07;3.04;-0.21
19.00;0.95;9.00;4.00;1.25;18.24;54980.11;3.14;-0.22
19.00;0.95;9.00;4.50;1.00;18.27;54851.39;2.58;-0.15
19.00;0.95;9.00;4.50;1.05;18.27;54876.82;2.68;-0.16
19.00;0.95;9.00;4.50;1.10;18.26;54902.41;2.77;-0.17
19.00;0.95;9.00;4.50;1.15;18.25;54928.16;2.87;-0.18
19.00;0.95;9.00;4.50;1.20;18.25;54954.07;2.97;-0.19
19.00;0.95;9.00;4.50;1.25;18.24;54980.11;3.07;-0.20
19.00;0.95;9.00;5.00;1.00;18.27;54851.39;2.52;-0.14
19.00;0.95;9.00;5.00;1.05;18.26;54876.82;2.61;-0.15
19.00;0.95;9.00;5.00;1.10;18.26;54902.41;2.71;-0.16
19.00;0.95;9.00;5.00;1.15;18.25;54928.16;2.81;-0.17
19.00;0.95;9.00;5.00;1.20;18.24;54954.07;2.90;-0.18
19.00;0.95;9.00;5.00;1.25;18.23;54980.11;2.99;-0.19
19.00;0.95;9.00;5.50;1.00;18.26;54851.39;2.46;-0.12
19.00;0.95;9.00;5.50;1.05;18.26;54876.82;2.55;-0.14
19.00;0.95;9.00;5.50;1.10;18.25;54902.41;2.65;-0.15
19.00;0.95;9.00;5.50;1.15;18.24;54928.16;2.74;-0.16
19.00;0.95;9.00;5.50;1.20;18.24;54954.07;2.83;-0.17
19.00;0.95;9.00;5.50;1.25;18.23;54980.11;2.92;-0.17
19.00;0.95;9.00;6.00;1.00;18.26;54851.39;2.40;-0.11
19.00;0.95;9.00;6.00;1.05;18.25;54876.82;2.49;-0.12
19.00;0.95;9.00;6.00;1.10;18.25;54902.41;2.58;-0.13
19.00;0.95;9.00;6.00;1.15;18.24;54928.16;2.67;-0.14
19.00;0.95;9.00;6.00;1.20;18.23;54954.07;2.76;-0.15
19.00;0.95;9.00;6.00;1.25;18.22;54980.11;2.85;-0.16
19.00;0.95;9.00;6.50;1.00;18.25;54851.39;2.34;-0.10
19.00;0.95;9.00;6.50;1.05;18.25;54876.82;2.43;-0.11
19.00;0.95;9.00;6.50;1.10;18.24;54902.41;2.52;-0.12
19.00;0.95;9.00;6.50;1.15;18.23;54928.16;2.61;-0.13
19.00;0.95;9.00;6.50;1.20;18.23;54954.07;2.69;-0.14
19.00;0.95;9.00;6.50;1.25;18.22;54980.11;2.78;-0.14
19.00;0.95;9.00;7.00;1.00;18.25;54851.39;2.28;-0.08
19.00;0.95;9.00;7.00;1.05;18.24;54876.82;2.37;-0.09
19.00;0.95;9.00;7.00;1.10;18.23;54902.41;2.45;-0.10
19.00;0.95;9.00;7.00;1.15;18.23;54928.16;2.54;-0.11
19.00;0.95;9.00;7.00;1.20;18.22;54954.07;2.62;-0.12
