Cruise Altitude[ft];CruiseMachNumber;BlockFuel[kg];BlockTime[min]
21250;0.61;6645.921448;278.6323258
21250;0.6;6669.879695;282.6080031
21250;0.59;6699.443575;286.7197925
21250;0.58;6735.099807;290.9747365
21250;0.57;6777.354478;295.380299
21250;0.56;6826.728902;299.9444629
21250;0.55;6883.767452;304.6757778
21250;0.54;6949.226963;309.5834414
21250;0.53;7024.001673;314.677339
21250;0.52;7109.11238;319.9681023
21250;0.51;7205.538968;325.4671518
21250;0.5;7314.18936;331.186774
21250;0.49;7432.936252;337.1436094
21250;0.48;7563.821153;343.3499616
21250;0.47;7706.960498;349.8189829
21250;0.46;7863.670818;356.567515
21250;0.45;8035.468256;363.613846
21500;0.45;8035.468256;363.613846
21500;0.46;7863.670818;356.567515
21500;0.47;7706.960498;349.8189829
21500;0.48;7563.821153;343.3499616
21500;0.49;7432.936252;337.1436094
21500;0.5;7314.18936;331.186774
21500;0.51;7205.538968;325.4671518
21500;0.52;7109.11238;319.9681023
21500;0.53;7024.001673;314.6773391
21500;0.54;6949.226963;309.5834414
21500;0.55;6883.767452;304.6757778
21500;0.56;6826.728902;299.9444629
21500;0.57;6777.354478;295.380299
21500;0.58;6735.099807;290.9747365
21500;0.59;6699.443575;286.7197925
21500;0.6;6669.879695;282.6080031
21500;0.61;6645.921448;278.6323258
21500;0.62;6627.138516;274.7862638
21500;0.63;6613.166832;271.0637169
21500;0.64;6603.727903;267.4589545
21750;0.64;6603.727903;267.4589544
21750;0.63;6613.166832;271.0637169
21750;0.62;6627.138516;274.7862638
21750;0.61;6645.921448;278.6323258
21750;0.6;6669.879695;282.6080031
21750;0.59;6699.443575;286.7197925
21750;0.58;6735.099807;290.9747365
21750;0.57;6777.354478;295.380299
21750;0.56;6826.728902;299.9444629
21750;0.55;6883.767452;304.6757778
21750;0.54;6949.226963;309.5834414
21750;0.53;7024.001673;314.677339
21750;0.52;7109.11238;319.9681023
21750;0.51;7205.538968;325.4671518
21750;0.5;7314.18936;331.186774
21750;0.49;7432.936252;337.1436094
21750;0.48;7563.821153;343.3499616
21750;0.47;7706.960498;349.8189829
21750;0.46;7863.670818;356.567515
21750;0.45;8035.468256;363.613846
22000;0.45;8035.468256;363.613846
22000;0.46;7863.670818;356.567515
22000;0.47;7706.960498;349.8189829
22000;0.48;7563.821153;343.3499616
22000;0.49;7432.936252;337.1436094
22000;0.5;7314.18936;331.186774
22000;0.51;7205.538968;325.4671518
22000;0.52;7109.11238;319.9681023
22000;0.53;7024.001673;314.6773391
22000;0.54;6949.226963;309.5834414
22000;0.55;6883.767452;304.6757778
22000;0.56;6826.728902;299.9444629
22000;0.57;6777.354478;295.380299
22000;0.58;6735.099807;290.9747365
22000;0.59;6699.443575;286.7197925
22000;0.6;6669.879695;282.6080031
22000;0.61;6645.921448;278.6323258
22000;0.62;6627.138516;274.7862638
22000;0.63;6613.166832;271.0637169
22000;0.64;6603.727903;267.4589545
22250;0.64;6603.727903;267.4589544
22250;0.63;6613.166832;271.0637169
22250;0.62;6627.138516;274.7862638
22250;0.61;6645.921448;278.6323258
22250;0.6;6669.879695;282.6080031
22250;0.59;6699.443575;286.7197925
22250;0.58;6735.099807;290.9747365
22250;0.57;6777.354478;295.380299
22250;0.56;6826.728902;299.9444629
22250;0.55;6883.767452;304.6757778
22250;0.54;6949.226963;309.5834414
22250;0.53;7024.001673;314.677339
22250;0.52;7109.11238;319.9681023
22250;0.51;7205.538968;325.4671518
22250;0.5;7314.18936;331.186774
22250;0.49;7432.936252;337.1436094
22250;0.48;7563.821153;343.3499616
22250;0.47;7706.960498;349.8189829
22250;0.46;7863.670818;356.567515
22250;0.45;8035.468256;363.613846
22500;0.45;8035.468256;363.613846
22500;0.46;7863.670818;356.567515
22500;0.47;7706.960498;349.8189829
22500;0.48;7563.821153;343.3499616
22500;0.49;7432.936252;337.1436094
22500;0.5;7314.18936;331.186774
22500;0.51;7205.538968;325.4671518
22500;0.52;7109.11238;319.9681023
22500;0.53;7024.001673;314.6773391
22500;0.54;6949.226963;309.5834414
22500;0.55;6883.767452;304.6757778
22500;0.56;6826.728902;299.9444629
22500;0.57;6777.354478;295.380299
22500;0.58;6735.099807;290.9747365
22500;0.59;6699.443575;286.7197925
22500;0.6;6669.879695;282.6080031
22500;0.61;6645.921448;278.6323258
22500;0.62;6627.138516;274.7862638
22500;0.63;6613.166832;271.0637169
22500;0.64;6603.727903;267.4589545
22750;0.64;6603.727903;267.4589544
22750;0.63;6613.166832;271.0637169
22750;0.62;6627.138516;274.7862638
22750;0.61;6645.921448;278.6323258
22750;0.6;6669.879695;282.6080031
22750;0.59;6699.443575;286.7197925
22750;0.58;6735.099807;290.9747365
22750;0.57;6777.354478;295.380299
22750;0.56;6826.728902;299.9444629
22750;0.55;6883.767452;304.6757778
22750;0.54;6949.226963;309.5834414
22750;0.53;7024.001673;314.677339
22750;0.52;7109.11238;319.9681023
22750;0.51;7205.538968;325.4671518
22750;0.5;7314.18936;331.186774
22750;0.49;7432.936252;337.1436094
22750;0.48;7563.821153;343.3499616
22750;0.47;7706.960498;349.8189829
22750;0.46;7863.670818;356.567515
22750;0.45;8035.468256;363.613846
23000;0.45;7932.16199;366.1269083
23000;0.46;7749.410302;359.104671
23000;0.47;7582.342236;352.3780121
23000;0.48;7429.118036;345.928911
23000;0.49;7288.275184;339.7407562
23000;0.5;7158.692579;333.7982284
23000;0.51;7038.743976;328.0870638
23000;0.52;6932.105232;322.5986834
23000;0.53;6837.708767;317.3212046
23000;0.54;6753.532855;312.2398436
23000;0.55;6678.783593;307.3440947
23000;0.56;6612.624955;302.6241596
23000;0.57;6554.200596;298.0708886
23000;0.58;6502.759623;293.6757492
23000;0.59;6457.690013;289.4307869
23000;0.6;6418.552322;285.3285915
23000;0.61;6384.950378;281.3622319
23000;0.62;6356.472597;277.5252058
23000;0.63;6332.707004;273.811398
23000;0.64;6313.268067;270.2150099
23250;0.64;6313.268067;270.2150099
23250;0.63;6332.707004;273.811398
23250;0.62;6356.472597;277.5252058
23250;0.61;6384.950378;281.3622319
23250;0.6;6418.552322;285.3285915
23250;0.59;6457.690013;289.4307869
23250;0.58;6502.759623;293.6757492
23250;0.57;6554.200596;298.0708886
23250;0.56;6612.624956;302.6241596
23250;0.55;6678.783592;307.3440946
23250;0.54;6753.532855;312.2398435
23250;0.53;6837.708767;317.3212046
23250;0.52;6932.105232;322.5986834
23250;0.51;7038.743976;328.0870638
23250;0.5;7158.692579;333.7982284
23250;0.49;7288.275184;339.7407562
23250;0.48;7429.118036;345.928911
23250;0.47;7582.342236;352.3780121
23250;0.46;7749.410302;359.104671
23250;0.45;7932.16199;366.1269083
23500;0.45;7932.16199;366.1269083
23500;0.46;7749.410302;359.104671
23500;0.47;7582.342236;352.3780121
23500;0.48;7429.118036;345.928911
23500;0.49;7288.275184;339.7407562
23500;0.5;7158.692579;333.7982284
23500;0.51;7038.743976;328.0870638
23500;0.52;6932.105232;322.5986834
23500;0.53;6837.708767;317.3212046
23500;0.54;6753.532855;312.2398436
23500;0.55;6678.783593;307.3440947
23500;0.56;6612.624955;302.6241596
23500;0.57;6554.200596;298.0708886
23500;0.58;6502.759623;293.6757492
23500;0.59;6457.690013;289.4307869
23500;0.6;6418.552322;285.3285915
23500;0.61;6384.950378;281.3622319
23500;0.62;6356.472597;277.5252058
23500;0.63;6332.707004;273.811398
23500;0.64;6313.268067;270.2150099
23750;0.64;6313.268067;270.2150099
23750;0.63;6332.707004;273.811398
23750;0.62;6356.472597;277.5252058
23750;0.61;6384.950378;281.3622319
23750;0.6;6418.552322;285.3285915
23750;0.59;6457.690013;289.4307869
23750;0.58;6502.759623;293.6757492
23750;0.57;6554.200596;298.0708886
23750;0.56;6612.624956;302.6241596
23750;0.55;6678.783592;307.3440946
23750;0.54;6753.532855;312.2398435
23750;0.53;6837.708767;317.3212046
23750;0.52;6932.105232;322.5986834
23750;0.51;7038.743976;328.0870638
23750;0.5;7158.692579;333.7982284
23750;0.49;7288.275184;339.7407562
23750;0.48;7429.118036;345.928911
23750;0.47;7582.342236;352.3780121
23750;0.46;7749.410302;359.104671
23750;0.45;7932.16199;366.1269083
24000;0.45;7932.16199;366.1269083
24000;0.46;7749.410302;359.104671
24000;0.47;7582.342236;352.3780121
24000;0.48;7429.118036;345.928911
24000;0.49;7288.275184;339.7407562
24000;0.5;7158.692579;333.7982284
24000;0.51;7038.743976;328.0870638
24000;0.52;6932.105232;322.5986834
24000;0.53;6837.708767;317.3212046
24000;0.54;6753.532855;312.2398436
24000;0.55;6678.783593;307.3440947
24000;0.56;6612.624955;302.6241596
24000;0.57;6554.200596;298.0708886
24000;0.58;6502.759623;293.6757492
24000;0.59;6457.690013;289.4307869
24000;0.6;6418.552322;285.3285915
24000;0.61;6384.950378;281.3622319
24000;0.62;6356.472597;277.5252058
24000;0.63;6332.707004;273.811398
24000;0.64;6313.268067;270.2150099
24250;0.64;6313.268067;270.2150099
24250;0.63;6332.707004;273.811398
24250;0.62;6356.472597;277.5252058
24250;0.61;6384.950378;281.3622319
24250;0.6;6418.552322;285.3285915
24250;0.59;6457.690013;289.4307869
24250;0.58;6502.759623;293.6757492
24250;0.57;6554.200596;298.0708886
24250;0.56;6612.624956;302.6241596
24250;0.55;6678.783592;307.3440946
24250;0.54;6753.532855;312.2398435
24250;0.53;6837.708767;317.3212046
24250;0.52;6932.105232;322.5986834
24250;0.51;7038.743976;328.0870638
24250;0.5;7158.692579;333.7982284
24250;0.49;7288.275184;339.7407562
24250;0.48;7429.118036;345.928911
24250;0.47;7582.342236;352.3780121
24250;0.46;7749.410302;359.104671
24250;0.45;7932.16199;366.1269083
24500;0.45;7932.16199;366.1269083
24500;0.46;7749.410302;359.104671
24500;0.47;7582.342236;352.3780121
24500;0.48;7429.118036;345.928911
24500;0.49;7288.275184;339.7407562
24500;0.5;7158.692579;333.7982284
24500;0.51;7038.743976;328.0870638
24500;0.52;6932.105232;322.5986834
24500;0.53;6837.708767;317.3212046
24500;0.54;6753.532855;312.2398436
24500;0.55;6678.783593;307.3440947
24500;0.56;6612.624955;302.6241596
24500;0.57;6554.200596;298.0708886
24500;0.58;6502.759623;293.6757492
24500;0.59;6457.690013;289.4307869
24500;0.6;6418.552322;285.3285915
24500;0.61;6384.950378;281.3622319
24500;0.62;6356.472597;277.5252058
24500;0.63;6332.707004;273.811398
24500;0.64;6313.268067;270.2150099
24750;0.64;6313.268067;270.2150099
24750;0.63;6332.707004;273.811398
24750;0.62;6356.472597;277.5252058
24750;0.61;6384.950378;281.3622319
24750;0.6;6418.552322;285.3285915
24750;0.59;6457.690013;289.4307869
24750;0.58;6502.759623;293.6757492
24750;0.57;6554.200596;298.0708886
24750;0.56;6612.624956;302.6241596
24750;0.55;6678.783592;307.3440946
24750;0.54;6753.532855;312.2398435
24750;0.53;6837.708767;317.3212046
24750;0.52;6932.105232;322.5986834
24750;0.51;7038.743976;328.0870638
24750;0.5;7158.692579;333.7982284
24750;0.49;7288.275184;339.7407562
24750;0.48;7429.118036;345.928911
24750;0.47;7582.342236;352.3780121
24750;0.46;7749.410302;359.104671
24750;0.45;7932.16199;366.1269083
25000;0.45;7808.66487;368.504752
25000;0.46;7617.239988;361.5250865
25000;0.47;7442.149275;354.8371732
25000;0.48;7281.355236;348.4235102
25000;0.49;7133.135062;342.2678899
25000;0.5;6996.134326;336.3553165
25000;0.51;6870.15843;330.6720635
25000;0.52;6755.384913;325.2054987
25000;0.53;6651.249153;319.9437914
25000;0.54;6558.431259;314.8812494
25000;0.55;6475.703305;310.0067329
25000;0.56;6401.432661;305.3070017
25000;0.57;6334.94719;300.7730516
25000;0.58;6275.548802;296.3964566
25000;0.59;6222.554999;292.1693287
25000;0.6;6175.323256;288.0842812
25000;0.61;6133.356716;284.1344181
25000;0.62;6096.278959;280.3132975
25000;0.63;6063.802052;276.6148935
25000;0.64;6035.606477;273.0335347
25250;0.64;6035.606477;273.0335347
25250;0.63;6063.802052;276.6148935
25250;0.62;6096.278959;280.3132975
25250;0.61;6133.356716;284.1344181
25250;0.6;6175.323256;288.0842812
25250;0.59;6222.554999;292.1693287
25250;0.58;6275.548802;296.3964566
25250;0.57;6334.94719;300.7730516
25250;0.56;6401.43266;305.3070017
25250;0.55;6475.703304;310.0067329
25250;0.54;6558.431259;314.8812494
25250;0.53;6651.249153;319.9437914
25250;0.52;6755.384913;325.2054987
25250;0.51;6870.15843;330.6720635
25250;0.5;6996.134326;336.3553165
25250;0.49;7133.135062;342.2678899
25250;0.48;7281.355236;348.4235102
25250;0.47;7442.149275;354.8371732
25250;0.46;7617.239988;361.5250865
25250;0.45;7808.66487;368.504752
25500;0.45;7808.66487;368.504752
25500;0.46;7617.239988;361.5250865
25500;0.47;7442.149275;354.8371732
25500;0.48;7281.355236;348.4235102
25500;0.49;7133.135062;342.2678899
25500;0.5;6996.134326;336.3553165
25500;0.51;6870.15843;330.6720635
25500;0.52;6755.384913;325.2054987
25500;0.53;6651.249153;319.9437914
25500;0.54;6558.431259;314.8812494
25500;0.55;6475.703305;310.0067329
25500;0.56;6401.432661;305.3070017
25500;0.57;6334.94719;300.7730516
25500;0.58;6275.548802;296.3964566
25500;0.59;6222.554999;292.1693287
25500;0.6;6175.323256;288.0842812
25500;0.61;6133.356716;284.1344181
25500;0.62;6096.278959;280.3132975
25500;0.63;6063.802052;276.6148935
25500;0.64;6035.606477;273.0335347
25750;0.64;6035.606477;273.0335347
25750;0.63;6063.802052;276.6148935
25750;0.62;6096.278959;280.3132975
25750;0.61;6133.356716;284.1344181
25750;0.6;6175.323256;288.0842812
25750;0.59;6222.554999;292.1693287
25750;0.58;6275.548802;296.3964566
25750;0.57;6334.94719;300.7730516
25750;0.56;6401.43266;305.3070017
25750;0.55;6475.703304;310.0067329
25750;0.54;6558.431259;314.8812494
25750;0.53;6651.249153;319.9437914
25750;0.52;6755.384913;325.2054987
25750;0.51;6870.15843;330.6720635
25750;0.5;6996.134326;336.3553165
25750;0.49;7133.135062;342.2678899
25750;0.48;7281.355236;348.4235102
25750;0.47;7442.149275;354.8371732
25750;0.46;7617.239988;361.5250865
25750;0.45;7808.66487;368.504752
26000;0.45;7808.66487;368.504752
26000;0.46;7617.239988;361.5250865
26000;0.47;7442.149275;354.8371732
26000;0.48;7281.355236;348.4235102
26000;0.49;7133.135062;342.2678899
26000;0.5;6996.134326;336.3553165
26000;0.51;6870.15843;330.6720635
26000;0.52;6755.384913;325.2054987
26000;0.53;6651.249153;319.9437914
26000;0.54;6558.431259;314.8812494
26000;0.55;6475.703305;310.0067329
26000;0.56;6401.432661;305.3070017
26000;0.57;6334.94719;300.7730516
26000;0.58;6275.548802;296.3964566
26000;0.59;6222.554999;292.1693287
26000;0.6;6175.323256;288.0842812
26000;0.61;6133.356716;284.1344181
26000;0.62;6096.278959;280.3132975
26000;0.63;6063.802052;276.6148935
26000;0.64;6035.606477;273.0335347
26250;0.64;6035.606477;273.0335347
26250;0.63;6063.802052;276.6148935
26250;0.62;6096.278959;280.3132975
26250;0.61;6133.356716;284.1344181
26250;0.6;6175.323256;288.0842812
26250;0.59;6222.554999;292.1693287
26250;0.58;6275.548802;296.3964566
26250;0.57;6334.94719;300.7730516
26250;0.56;6401.43266;305.3070017
26250;0.55;6475.703304;310.0067329
26250;0.54;6558.431259;314.8812494
26250;0.53;6651.249153;319.9437914
26250;0.52;6755.384913;325.2054987
26250;0.51;6870.15843;330.6720635
26250;0.5;6996.134326;336.3553165
26250;0.49;7133.135062;342.2678899
26250;0.48;7281.355236;348.4235102
26250;0.47;7442.149275;354.8371732
26250;0.46;7617.239988;361.5250865
26250;0.45;7808.66487;368.504752
26500;0.45;7808.66487;368.504752
26500;0.46;7617.239988;361.5250865
26500;0.47;7442.149275;354.8371732
26500;0.48;7281.355236;348.4235102
26500;0.49;7133.135062;342.2678899
26500;0.5;6996.134326;336.3553165
26500;0.51;6870.15843;330.6720635
