Time, Aircraft mass
   4.084250, 20738.936221
   5.433948, 20717.519377
   6.920962, 20695.024405
   8.567151, 20671.187786
  10.405942, 20645.632667
  12.496124, 20617.796253
  14.982109, 20586.296965
  14.982109, 20586.296965
  15.801212, 20575.553845
  16.620315, 20564.812471
  17.439418, 20554.072842
  18.258522, 20543.334959
  19.077625, 20532.598821
  19.896728, 20521.864428
  20.715832, 20511.131781
  21.534935, 20500.400879
  22.354038, 20489.671723
  23.173141, 20478.944312
  23.992245, 20468.218646
  24.811348, 20457.494726
  25.630451, 20446.772552
  26.449554, 20436.052123
  27.268658, 20425.333439
  28.087761, 20414.616501
  28.906864, 20403.901308
  29.725967, 20393.187861
  30.545071, 20382.476160
  31.364174, 20371.766203
  32.183277, 20361.057993
  33.002380, 20350.351527
  33.821484, 20339.646808
  34.640587, 20328.943834
  35.459690, 20318.242605
  36.278793, 20307.543122
  37.097897, 20296.845384
  37.917000, 20286.149392
  38.736103, 20275.455145
  38.736103, 20275.455145
  39.896032, 20266.546161
  41.058764, 20257.768708
  42.220084, 20249.066575
  43.376236, 20240.544506
  44.524976, 20232.195595
  45.661995, 20224.017127
  46.783206, 20216.135737
  47.900611, 20208.424359
  49.010509, 20200.830304
  49.010509, 20200.830304
  49.589924, 20191.003133
  50.174964, 20181.155896
  50.765469, 20171.294642
  51.364214, 20161.398309
  51.981985, 20151.371468
  52.628108, 20141.134911
  53.305596, 20130.665200
  54.016769, 20119.935899
  54.763442, 20108.920424
  54.763442, 20108.920424
  56.615618, 20091.367737
  58.468603, 20073.821810
  60.322397, 20056.282656
  62.177002, 20038.750285
  64.032418, 20021.224710
  65.888646, 20003.705942
  67.745686, 19986.193992
  69.603540, 19968.688872
  71.462208, 19951.190593
  71.462208, 19951.190593
  72.108615, 19945.881129
  72.744854, 19940.637604
  73.383630, 19935.944228
  74.025084, 19931.239465
  74.669359, 19926.537255
  75.316244, 19921.832072
  75.965602, 19917.106879
  76.616971, 19912.365114
  77.269434, 19907.617517
  77.269434, 19907.617517
  82.269434, 19862.186419
  87.269434, 19816.844065
  92.269434, 19771.590361
  97.269434, 19726.424368
 102.269434, 19681.343755
 107.269434, 19636.348433
 112.269434, 19591.438312
 117.269434, 19546.613304
 122.269434, 19501.873318
 122.269434, 19501.873318
 122.271101, 19501.860049
 122.272767, 19501.846779
 122.274434, 19501.833510
 122.276101, 19501.820240
 122.277767, 19501.806969
 122.279434, 19501.793699
 122.281101, 19501.780428
 122.282767, 19501.767157
 122.284434, 19501.753887
 122.286101, 19501.740616
 122.287767, 19501.727345
 122.289434, 19501.714075
 122.291101, 19501.700804
 122.292767, 19501.687532
 122.294434, 19501.674259
 122.296101, 19501.660986
 122.297767, 19501.647713
 122.299434, 19501.634440
 122.301101, 19501.621167
 122.302767, 19501.607894
 122.304434, 19501.594621
 122.306101, 19501.581348
 122.307767, 19501.568076
 122.309434, 19501.554801
 122.311101, 19501.541526
 122.312767, 19501.528251
 122.314434, 19501.514975
 122.316101, 19501.501700
 122.317767, 19501.488425
 122.319434, 19501.475150
 122.321101, 19501.461875
 122.322767, 19501.448600
 122.324434, 19501.435325
 122.326101, 19501.422048
 122.327767, 19501.408770
 122.329434, 19501.395493
 122.331101, 19501.382216
 122.332767, 19501.368938
 122.334434, 19501.355661
 122.336101, 19501.342384
