Ground distance, Rate of Climb
 376.801515,    0.000000
 376.814718,    0.000000
 376.825505,    0.000000
 376.829596,    0.000000
 376.834275,    0.000000
 376.876845,    0.000000
 377.173307,    0.000000
 378.428423,    0.000000
 382.704565,    0.000000
 386.642160,    0.000000
 390.621869,    0.000000
 394.614084,    0.000000
 398.629153,    0.000000
 402.682551,    0.000000
 406.747320,    0.000000
 410.841564,    0.000000
 414.945624,    0.000000
 419.095988,    0.000000
 423.252663,    0.000000
 427.440990,    0.000000
 431.657467,    0.000000
 435.906341,    0.000000
 436.757305,    0.000000
 437.321982,    0.000000
 437.402429,    0.000000
 437.423336,    0.000000
 437.437886,    0.000000
 437.446584,    0.000000
 437.468238,    0.000000
 437.487915,    0.000000
 437.631403,    0.000000
 438.541094,    0.000000
 441.586684,    0.000000
 445.900995,    0.000000
 450.225262,    0.000000
 454.572317,    0.000000
 458.946845,    0.000000
 463.356530,    0.000000
 467.788040,    0.000000
 472.240051,    0.000000
 476.720426,    0.000000
 481.224398,    0.000000
 485.770831,    0.000000
 490.322562,    0.000000
 494.906555,    0.000000
 499.521757,    0.000000
 500.446915,    0.000000
 501.143696,    0.000000
 501.637115,    0.000000
 502.034450,    0.000000
 502.361835,    0.000000
 502.662062,    0.000000
 502.923948,    0.000000
 503.158551,    0.000000
 503.376336,    0.000000
 503.414738,    0.000000
 503.464974,    0.000000
 503.475023,    0.000000
 503.484250,    0.000000
 503.492781,    0.000000
 503.578094,    0.000000
 504.099299,    0.000000
 506.125839,    0.000000
 510.851845,    0.000000
 515.547073,    0.000000
 520.268810,    0.000000
 525.008846,    0.000000
 529.777963,    0.000000
 534.585546,    0.000000
 539.412806,    0.000000
 544.275484,    0.000000
 549.158170,    0.000000
 554.074632,    0.000000
 558.998437,    0.000000
 563.951920,    0.000000
 568.946942,    0.000000
 573.948998,    0.000000
 574.956080,    0.000000
 575.137680,    0.000000
 575.156626,    0.000000
 575.167631,    0.000000
 575.173783,    0.000000
 575.179419,    0.000000
 575.235783,    0.000000
 575.589691,    0.000000
 576.973247,    0.000000
 581.821406,    0.000000
 586.905726,    0.000000
 592.009363,    0.000000
 597.151947,    0.000000
 602.318835,    0.000000
 607.515210,    0.000000
 612.718400,    0.000000
 617.948278,    0.000000
 623.212757,    0.000000
 628.503654,    0.000000
 633.813395,    0.000000
 639.166339,    0.000000
 644.546384,    0.000000
 649.944329,    0.000000
 651.029724,    0.000000
 651.815378,    0.000000
 652.621899,    0.000000
 652.738872,    0.000000
 652.774666,    0.000000
 652.784514,    0.000000
 652.789475,    0.000000
 652.794953,    0.000000
 652.849735,    0.000000
 653.206431,    0.000000
 655.030504,    0.000000
 661.005015,    0.000000
 666.511394,    0.000000
 672.045313,    0.000000
 677.600438,    0.000000
 683.185394,    0.000000
 688.790074,    0.000000
 694.439298,    0.000000
 700.120042,    0.000000
 705.818090,    0.000000
 711.547366,    0.000000
 717.309246,    0.000000
 723.086391,    0.000000
 728.896518,    0.000000
 734.743070,    0.000000
 735.912430,    0.000000
 736.078694,    0.000000
 736.251071,    0.000000
 736.428792,    0.000000
 736.603753,    0.000000
 736.617270,    0.000000
 736.622776,    0.000000
 736.625210,    0.000000
 736.628384,    0.000000
 736.660121,    0.000000
 736.936247,    0.000000
 738.255346,    0.000000
 744.212931,    0.000000
 750.173015,    0.000000
 756.186904,    0.000000
 762.214702,    0.000000
 768.271795,    0.000000
 774.343155,    0.000000
 780.444473,    0.000000
 786.579064,    0.000000
 792.743522,    0.000000
 798.939028,    0.000000
 805.163778,    0.000000
 811.414202,    0.000000
 817.705080,    0.000000
 824.021768,    0.000000
 825.283643,    0.000000
 826.094648,    0.000000
 826.773092,    0.000000
 826.872089,    0.000000
 826.899266,    0.000000
 826.938502,    0.000000
 826.949257,    0.000000
 826.957912,    0.000000
 826.965416,    0.000000
 826.968499,    0.000000
 826.972974,    0.000000
 827.017722,    0.000000
 827.465258,    0.000000
 829.337733,    0.000000
 835.579892,    0.000000
 842.045192,    0.000000
 848.552544,    0.000000
 855.098262,    0.000000
 861.649034,    0.000000
 868.244525,    0.000000
 874.863076,    0.000000
 881.514129,    0.000000
 888.183678,    0.000000
 893.240341,    0.000000
 894.879793,    0.000000
 901.627116,    0.000000
 908.380967,    0.000000
 915.126871,    0.000000
 921.876465,    0.000000
 923.223129,    0.000000
 923.441958,    0.000000
 923.654764,    0.000000
 923.881085,    0.000000
 924.114246,    0.000000
 924.158748,    0.000000
 924.231293,    0.000000
 924.236787,    0.000000
 924.239665,    0.000000
 924.243390,    0.000000
 924.280638,    0.000000
 924.507686,    0.000000
 925.557029,    0.000000
 930.325486,    0.000000
 937.139511,    0.000000
 943.914779,    0.000000
 950.665319,    0.000000
 957.400391,    0.000000
 964.102931,    0.000000
 970.804050,    0.000000
 977.500388,    0.000000
 984.139616,    0.000000
 990.763145,    0.000000
 997.369757,    0.000000
1003.965064,    0.000000
1010.536498,    0.000000
1017.085959,    0.000000
1023.612647,    0.000000
1030.122215,    0.000000
1031.415913,    0.000000
1032.391923,    0.000000
1032.537059,    0.000000
1032.583966,    0.000000
1032.606594,    0.000000
