%Alpha[deg]   c[m]     y/(b/2)   Xle/Cr    Clstaz    Cl_bas    Cl_add    Ccl/cavg    Cmac2d
   3.00000   4.11067   0.27778   0.38855   1.39059   0.00000   0.00000   1.81559  -0.04000
   3.00000   4.01776   0.28788   0.40325   1.41514   0.00000   0.00000   1.80588  -0.04000
   3.00000   3.92485   0.29798   0.41795   1.43972   0.00000   0.00000   1.79476  -0.04000
   3.00000   3.83194   0.30808   0.43265   1.46428   0.00000   0.00000   1.78217  -0.04000
   3.00000   3.73903   0.31818   0.44734   1.48857   0.00000   0.00000   1.76780  -0.04000
   3.00000   3.64612   0.32828   0.46204   1.51167   0.00000   0.00000   1.75063  -0.04000
   3.00000   3.46937   0.33838   0.48986   1.56350   0.00000   0.00000   1.72288  -0.04000
   3.00000   3.36030   0.34848   0.50709   1.60179   0.00000   0.00000   1.70959  -0.04000
   3.00000   3.26739   0.35859   0.52179   1.63866   0.00000   0.00000   1.70057  -0.04000
   3.00000   3.17448   0.36869   0.53649   1.67614   0.00000   0.00000   1.69001  -0.04000
   3.00000   3.08157   0.37879   0.55118   1.71578   0.00000   0.00000   1.67934  -0.04000
   3.00000   2.98867   0.38889   0.56588   1.75917   0.00000   0.00000   1.66990  -0.04000
   3.00000   2.99143   0.39899   0.56628   1.75393   0.00000   0.00000   1.66647  -0.04000
   3.00000   2.98920   0.40909   0.57703   1.74225   0.00000   0.00000   1.65414  -0.04000
   3.00000   2.96113   0.41919   0.58913   1.74648   0.00000   0.00000   1.64258  -0.04000
   3.00000   2.93306   0.42929   0.60123   1.75036   0.00000   0.00000   1.63063  -0.04000
   3.00000   2.90499   0.43939   0.61333   1.75381   0.00000   0.00000   1.61820  -0.04000
   3.00000   2.87693   0.44949   0.62543   1.75680   0.00000   0.00000   1.60530  -0.04000
   3.00000   2.84886   0.45960   0.63753   1.75932   0.00000   0.00000   1.59192  -0.04000
   3.00000   2.82079   0.46970   0.64963   1.76136   0.00000   0.00000   1.57806  -0.04000
   3.00000   2.79272   0.47980   0.66172   1.76291   0.00000   0.00000   1.56373  -0.04000
   3.00000   2.76466   0.48990   0.67382   1.76394   0.00000   0.00000   1.54893  -0.04000
   3.00000   2.73659   0.50000   0.68592   1.76444   0.00000   0.00000   1.53363  -0.04000
   3.00000   2.70852   0.51010   0.69802   1.76437   0.00000   0.00000   1.51784  -0.04000
   3.00000   2.68045   0.52020   0.71012   1.76369   0.00000   0.00000   1.50154  -0.04000
   3.00000   2.65238   0.53030   0.72222   1.76236   0.00000   0.00000   1.48469  -0.04000
   3.00000   2.62432   0.54040   0.73432   1.76032   0.00000   0.00000   1.46729  -0.04000
   3.00000   2.59625   0.55051   0.74642   1.75752   0.00000   0.00000   1.44928  -0.04000
   3.00000   2.56818   0.56061   0.75852   1.75388   0.00000   0.00000   1.43065  -0.04000
   3.00000   2.54011   0.57071   0.77062   1.74931   0.00000   0.00000   1.41132  -0.04000
   3.00000   2.51205   0.58081   0.78271   1.74371   0.00000   0.00000   1.39126  -0.04000
   3.00000   2.48398   0.59091   0.79481   1.73695   0.00000   0.00000   1.37038  -0.04000
   3.00000   2.45591   0.60101   0.80691   1.72888   0.00000   0.00000   1.34860  -0.04000
   3.00000   2.42784   0.61111   0.81901   1.71934   0.00000   0.00000   1.32583  -0.04000
   3.00000   2.39978   0.62121   0.83111   1.70810   0.00000   0.00000   1.30194  -0.04000
   3.00000   2.37171   0.63131   0.84321   1.69491   0.00000   0.00000   1.27677  -0.04000
   3.00000   2.34364   0.64141   0.85531   1.67945   0.00000   0.00000   1.25016  -0.04000
   3.00000   2.31557   0.65152   0.86741   1.66133   0.00000   0.00000   1.22186  -0.04000
   3.00000   2.28750   0.66162   0.87951   1.64006   0.00000   0.00000   1.19159  -0.04000
   3.00000   2.25944   0.67172   0.89160   1.61500   0.00000   0.00000   1.15899  -0.04000
   3.00000   2.23137   0.68182   0.90370   1.58534   0.00000   0.00000   1.12357  -0.04000
   3.00000   2.20330   0.69192   0.91580   1.55000   0.00000   0.00000   1.08470  -0.04000
   3.00000   2.17523   0.70202   0.92790   1.50745   0.00000   0.00000   1.04149  -0.04000
   3.00000   2.14717   0.71212   0.94000   1.45547   0.00000   0.00000   0.99260  -0.04000
   3.00000   2.11910   0.72222   0.95210   1.39046   0.00000   0.00000   0.93587  -0.04000
   3.00000   2.09103   0.73232   0.96420   1.30566   0.00000   0.00000   0.86715  -0.04000
   3.00000   2.06296   0.74242   0.97630   1.18394   0.00000   0.00000   0.77576  -0.04000
   3.00000   1.98509   0.75253   0.98840   0.94892   0.00000   0.00000   0.59829  -0.04000
   3.00000   1.80959   0.76263   1.00050   1.03764   0.00000   0.00000   0.59640  -0.04000
   3.00000   1.78152   0.77273   1.01259   0.99570   0.00000   0.00000   0.56341  -0.04000
   3.00000   1.75346   0.78283   1.02469   0.95084   0.00000   0.00000   0.52955  -0.04000
   3.00000   1.72539   0.79293   1.03679   0.90782   0.00000   0.00000   0.49750  -0.04000
   3.00000   1.69732   0.80303   1.04889   0.86740   0.00000   0.00000   0.46761  -0.04000
   3.00000   1.66925   0.81313   1.06099   0.82951   0.00000   0.00000   0.43979  -0.04000
   3.00000   1.64118   0.82323   1.07309   0.79391   0.00000   0.00000   0.41384  -0.04000
   3.00000   1.61312   0.83333   1.08519   0.76033   0.00000   0.00000   0.38956  -0.04000
   3.00000   1.58505   0.84343   1.09729   0.72849   0.00000   0.00000   0.36675  -0.04000
   3.00000   1.55698   0.85354   1.10939   0.69811   0.00000   0.00000   0.34523  -0.04000
   3.00000   1.52891   0.86364   1.12148   0.66893   0.00000   0.00000   0.32484  -0.04000
   3.00000   1.50085   0.87374   1.13358   0.64068   0.00000   0.00000   0.30541  -0.04000
   3.00000   1.47278   0.88384   1.14568   0.61308   0.00000   0.00000   0.28679  -0.04000
   3.00000   1.44471   0.89394   1.15778   0.58579   0.00000   0.00000   0.26880  -0.04000
   3.00000   1.41664   0.90404   1.16988   0.55842   0.00000   0.00000   0.25126  -0.04000
   3.00000   1.38858   0.91414   1.18198   0.53040   0.00000   0.00000   0.23393  -0.04000
   3.00000   1.36051   0.92424   1.19408   0.50091   0.00000   0.00000   0.21646  -0.04000
   3.00000   1.33244   0.93434   1.20618   0.46847   0.00000   0.00000   0.19826  -0.04000
   3.00000   1.30437   0.94444   1.21828   0.42935   0.00000   0.00000   0.17788  -0.04000
   3.00000   1.23085   0.95455   1.23749   0.37425   0.00000   0.00000   0.14631  -0.04000
   3.00000   1.14824   0.96465   1.25812   0.23412   0.00000   0.00000   0.08539  -0.04000
   3.00000   1.12017   0.97475   1.27022   0.20874   0.00000   0.00000   0.07427  -0.04000
   3.00000   1.09210   0.98485   1.28232   0.17099   0.00000   0.00000   0.05931  -0.04000
   3.00000   1.06403   0.99495   1.29442   0.11607   0.00000   0.00000   0.03923  -0.04000
   3.00000   1.05000   1.00000   1.30047   0.00000   0.00000   0.00000   0.00000  -0.04000


