Time, xT = int(m(Vc - V))
  59.500000, 34198215.273660
  60.000000, 34314455.541308
  60.500000, 34429089.770286
  61.000000, 34542118.846040
  61.500000, 34653544.475910
  62.000000, 34763369.156840
  62.500000, 34871596.143884
  63.000000, 34978229.419507
  63.500000, 35083273.663644
  64.000000, 35186734.224534
  64.500000, 35288617.090286
  65.000000, 35388928.861197
  65.500000, 35487676.722778
  66.000000, 35584868.419502
  66.500000, 35680512.229245
  67.000000, 35774616.938411
  67.500000, 35867191.817743
  68.000000, 35958246.598780
  68.500000, 36047791.450979
  69.000000, 36135836.959464
  69.500000, 36222394.103414
  70.000000, 36307474.235049
  70.500000, 36391089.059239
  71.000000, 36473250.613686
  71.500000, 36553971.249700
  72.000000, 36633263.613536
  72.500000, 36711140.628291
  73.000000, 36787615.476346
  73.500000, 36862701.582346
  74.000000, 36936412.596698
  74.500000, 37008762.379591
  75.000000, 37079764.985509
  75.500000, 37149434.648244
  76.000000, 37217785.766382
  76.500000, 37284832.889268
  77.000000, 37350590.703427
  77.500000, 37415074.019436
  78.000000, 37478297.759232
  78.500000, 37540276.943862
  79.000000, 37601026.681639
  79.500000, 37660562.156722
  80.000000, 37718898.618087
  80.500000, 37776051.368893
  81.000000, 37832035.756239
  81.500000, 37886867.161278
  82.000000, 37940560.989713
  82.500000, 37993132.662633
  83.000000, 38044597.607712
  83.500000, 38094971.250730
  84.000000, 38144269.007434
  84.500000, 38192506.275721
  85.000000, 38239698.428127
  85.500000, 38096379.765387
  86.000000, 37940474.826744
  86.500000, 37786187.900813
  87.000000, 37632379.652741
  87.500000, 37477646.568561
  88.000000, 37320726.575755
  88.500000, 37160653.893268
  89.000000, 36996791.055336
  89.500000, 36828799.681052
  90.000000, 36656584.333706
  90.500000, 36480229.697903
  91.000000, 36299942.355184
  91.500000, 36116002.440129
  92.000000, 35928726.643603
  92.500000, 35738441.870877
  93.000000, 35545467.860878
  93.500000, 35350106.793176
  94.000000, 35152638.021092
  94.500000, 34953316.353268
  95.000000, 34752372.634263
  95.500000, 34550015.682856
  96.000000, 34346434.909105
  96.500000, 34141803.142379
  97.000000, 33936279.366432
  97.500000, 33730011.180963
  98.000000, 33523136.899113
  98.500000, 33315787.253450
  99.000000, 33108086.724775
  99.500000, 32900154.533345
 100.000000, 32692105.344906
 100.500000, 32484049.747891
 101.000000, 32276094.555990
 101.500000, 32068342.984579
 102.000000, 31860894.741836
 102.500000, 31653846.067179
 103.000000, 31447289.741788
 103.500000, 31241315.088942
 104.000000, 31036007.976025
 104.500000, 30831450.825340
 105.000000, 30627722.637324
 105.500000, 30424899.027254
 106.000000, 30223052.274824
 106.500000, 30022251.384984
 107.000000, 29822562.157945
 107.500000, 29624047.266100
 108.000000, 29426766.335745
 108.500000, 29230776.031681
 109.000000, 29036130.143150
 109.500000, 28842879.669834
 110.000000, 28651072.906997
 110.500000, 28460755.529107
 111.000000, 28271970.671515
 111.500000, 28084759.009954
 112.000000, 27899158.837736
 112.500000, 27715206.140667
 113.000000, 27532934.669711
 113.500000, 27352376.011516
 114.000000, 27173559.656911
 114.500000, 26996513.067479
 115.000000, 26821261.740341
 115.500000, 26647829.271232
 116.000000, 26476237.415968
 116.500000, 26306506.150381
 117.000000, 26138653.728772
 117.500000, 25972696.740955
 118.000000, 25808650.167911
 118.500000, 25646527.436108
 119.000000, 25486340.470494
 119.500000, 25328099.746218
 120.000000, 25171814.339069
 120.500000, 25017491.974683
 121.000000, 24865139.076520
 121.500000, 24714760.812644
 122.000000, 24566361.141314
 122.500000, 24419942.855419
 123.000000, 24275507.625770
 123.500000, 24133056.043276
 124.000000, 23992587.660016
 124.500000, 23854101.029239
 125.000000, 23717593.744313
 125.500000, 23583062.476635
 126.000000, 23450503.012534
 126.500000, 23319910.289182
 127.000000, 23191278.429540
 127.500000, 23064600.776352
 128.000000, 22939869.925214
 128.500000, 22817077.756740
 129.000000, 22696215.467831
 129.500000, 22577273.602091
 130.000000, 22460242.079381
 130.500000, 22345110.224550
 131.000000, 22231866.795361
 131.500000, 22120500.009609
 132.000000, 22010997.571481
 132.500000, 21903346.697147
 133.000000, 21797534.139614
 133.500000, 21693546.212862
 134.000000, 21591368.815262
 134.500000, 21490987.452316
 135.000000, 21392387.258709
 135.500000, 21295553.019717
 136.000000, 21200469.191954
 136.500000, 21107119.923506
 137.000000, 21015489.073441
 137.500000, 20925560.230722
 138.000000, 20837316.732532
 138.500000, 20750741.682036
 139.000000, 20665817.965573
 139.500000, 20582528.269309
 140.000000, 20500855.095360
 140.500000, 20420780.777393
 141.000000, 20342287.495721
 141.500000, 20265357.291902
 142.000000, 20189972.082860
 142.500000, 20116113.674534
 143.000000, 20043763.775064
 143.500000, 19972904.007533
 144.000000, 19903515.922274
 144.500000, 19835581.008748
 145.000000, 19769080.707004
 145.500000, 19703996.418744
 146.000000, 19640309.517982
 146.500000, 19578001.361324
 147.000000, 19517053.297873
 147.500000, 19457446.678767
 148.000000, 19399162.866358
 148.500000, 19342183.243054
 149.000000, 19286489.219807
 149.500000, 19232062.244286
 150.000000, 19178883.808718
 150.500000, 19126935.457428
 151.000000, 19076198.794062
 151.500000, 19026655.488519
 152.000000, 18978287.283600
 152.500000, 18931076.001366
 153.000000, 18885003.549230
 153.500000, 18840051.925775
 154.000000, 18796203.226327
 154.500000, 18753439.648255
 155.000000, 18711743.496051
 155.500000, 18671097.186146
 156.000000, 18631483.251516
 156.500000, 18592884.346047
 157.000000, 18555283.248691
 157.500000, 18518662.867400
 158.000000, 18483006.242865
 158.500000, 18448296.552040
 159.000000, 18414517.111479
 159.500000, 18381651.380484
 160.000000, 18349682.964064
 160.500000, 18318595.615718
 161.000000, 18288373.240043
 161.500000, 18258999.895174
 162.000000, 18230459.795062
 162.500000, 18202737.311589
 163.000000, 18175816.976534
 163.500000, 18149683.483389
 164.000000, 18124321.689025
 164.500000, 18099716.615229
 165.000000, 18075853.450090
 165.500000, 18052717.549270
 166.000000, 18030294.437135
 166.500000, 18008569.807768
 167.000000, 17987529.525865
 167.500000, 17967159.627510
 168.000000, 17947446.320845
 168.500000, 17928375.986625
 169.000000, 17909935.178676
 169.500000, 17892110.624248
 170.000000, 17874889.224270
 170.500000, 17858258.053519
 171.000000, 17842204.360685
 171.500000, 17826715.568365
 172.000000, 17811779.272957
 172.500000, 17797383.244485
 173.000000, 17783515.426343
 173.500000, 17770163.934958
 174.000000, 17757317.059388
 174.500000, 17744963.260848
 175.000000, 17733091.172171
 175.500000, 17721689.597197
 176.000000, 17710747.510115
 176.500000, 17700254.054732
 177.000000, 17690198.543694
 177.500000, 17680570.457648
 178.000000, 17671359.444358
 178.500000, 17662555.317766
 179.000000, 17654148.057005
 179.500000, 17646127.805376
 180.000000, 17638484.869271
