%Alpha[deg]   c[m]     y/(b/2)   Xle/Cr    Clstaz    Cl_bas    Cl_add    Ccl/cavg    Cmac2d
   3.00000   3.61797   0.32828   0.46204   1.07127   0.00000   0.00000   1.23860  -0.04000
   3.00000   3.44122   0.33838   0.48986   1.10506   0.00000   0.00000   1.21526  -0.04000
   3.00000   3.33215   0.34848   0.50709   1.12714   0.00000   0.00000   1.20025  -0.04000
   3.00000   3.23924   0.35859   0.52179   1.15207   0.00000   0.00000   1.19259  -0.04000
   3.00000   3.14633   0.36869   0.53649   1.17705   0.00000   0.00000   1.18350  -0.04000
   3.00000   3.05342   0.37879   0.55118   1.20319   0.00000   0.00000   1.17406  -0.04000
   3.00000   2.96051   0.38889   0.56588   1.23139   0.00000   0.00000   1.16502  -0.04000
   3.00000   2.96327   0.39899   0.56628   1.22313   0.00000   0.00000   1.15828  -0.04000
   3.00000   2.95759   0.40909   0.57703   1.21699   0.00000   0.00000   1.15025  -0.04000
   3.00000   2.92952   0.41919   0.58913   1.21921   0.00000   0.00000   1.14141  -0.04000
   3.00000   2.90145   0.42929   0.60123   1.22095   0.00000   0.00000   1.13209  -0.04000
   3.00000   2.87338   0.43939   0.61333   1.22231   0.00000   0.00000   1.12239  -0.04000
   3.00000   2.84531   0.44949   0.62543   1.22331   0.00000   0.00000   1.11234  -0.04000
   3.00000   2.81725   0.45960   0.63753   1.22398   0.00000   0.00000   1.10197  -0.04000
   3.00000   2.78918   0.46970   0.64963   1.22431   0.00000   0.00000   1.09128  -0.04000
   3.00000   2.76111   0.47980   0.66172   1.22430   0.00000   0.00000   1.08029  -0.04000
   3.00000   2.73304   0.48990   0.67382   1.22395   0.00000   0.00000   1.06900  -0.04000
   3.00000   2.70498   0.50000   0.68592   1.22323   0.00000   0.00000   1.05740  -0.04000
   3.00000   2.67691   0.51010   0.69802   1.22213   0.00000   0.00000   1.04549  -0.04000
   3.00000   2.64884   0.52020   0.71012   1.22064   0.00000   0.00000   1.03326  -0.04000
   3.00000   2.62077   0.53030   0.72222   1.21871   0.00000   0.00000   1.02070  -0.04000
   3.00000   2.59271   0.54040   0.73432   1.21632   0.00000   0.00000   1.00779  -0.04000
   3.00000   2.56464   0.55051   0.74642   1.21343   0.00000   0.00000   0.99451  -0.04000
   3.00000   2.53657   0.56061   0.75852   1.21000   0.00000   0.00000   0.98084  -0.04000
   3.00000   2.50850   0.57071   0.77062   1.20596   0.00000   0.00000   0.96675  -0.04000
   3.00000   2.48043   0.58081   0.78271   1.20125   0.00000   0.00000   0.95220  -0.04000
   3.00000   2.45237   0.59091   0.79481   1.19579   0.00000   0.00000   0.93715  -0.04000
   3.00000   2.42430   0.60101   0.80691   1.18949   0.00000   0.00000   0.92155  -0.04000
   3.00000   2.39623   0.61111   0.81901   1.18224   0.00000   0.00000   0.90532  -0.04000
   3.00000   2.36816   0.62121   0.83111   1.17390   0.00000   0.00000   0.88840  -0.04000
   3.00000   2.34010   0.63131   0.84321   1.16430   0.00000   0.00000   0.87070  -0.04000
   3.00000   2.31203   0.64141   0.85531   1.15324   0.00000   0.00000   0.85208  -0.04000
   3.00000   2.28396   0.65152   0.86741   1.14047   0.00000   0.00000   0.83242  -0.04000
   3.00000   2.25589   0.66162   0.87951   1.12567   0.00000   0.00000   0.81152  -0.04000
   3.00000   2.22783   0.67172   0.89160   1.10844   0.00000   0.00000   0.78915  -0.04000
   3.00000   2.19976   0.68182   0.90370   1.08824   0.00000   0.00000   0.76501  -0.04000
   3.00000   2.17169   0.69192   0.91580   1.06438   0.00000   0.00000   0.73869  -0.04000
   3.00000   2.14362   0.70202   0.92790   1.03588   0.00000   0.00000   0.70962  -0.04000
   3.00000   2.11555   0.71212   0.94000   1.00130   0.00000   0.00000   0.67695  -0.04000
   3.00000   2.08749   0.72222   0.95210   0.95830   0.00000   0.00000   0.63928  -0.04000
   3.00000   2.05942   0.73232   0.96420   0.90252   0.00000   0.00000   0.59398  -0.04000
   3.00000   2.03135   0.74242   0.97630   0.82288   0.00000   0.00000   0.53418  -0.04000
   3.00000   1.96146   0.75253   0.98840   0.66882   0.00000   0.00000   0.41923  -0.04000
   3.00000   1.80959   0.76263   1.00050   0.72159   0.00000   0.00000   0.41729  -0.04000
   3.00000   1.78152   0.77273   1.01259   0.69405   0.00000   0.00000   0.39514  -0.04000
   3.00000   1.75346   0.78283   1.02469   0.66449   0.00000   0.00000   0.37235  -0.04000
   3.00000   1.72539   0.79293   1.03679   0.63601   0.00000   0.00000   0.35069  -0.04000
   3.00000   1.69732   0.80303   1.04889   0.60911   0.00000   0.00000   0.33039  -0.04000
   3.00000   1.66925   0.81313   1.06099   0.58378   0.00000   0.00000   0.31141  -0.04000
   3.00000   1.64118   0.82323   1.07309   0.55986   0.00000   0.00000   0.29363  -0.04000
   3.00000   1.61312   0.83333   1.08519   0.53717   0.00000   0.00000   0.27691  -0.04000
   3.00000   1.58505   0.84343   1.09729   0.51554   0.00000   0.00000   0.26114  -0.04000
   3.00000   1.55698   0.85354   1.10939   0.49480   0.00000   0.00000   0.24620  -0.04000
   3.00000   1.52891   0.86364   1.12148   0.47477   0.00000   0.00000   0.23197  -0.04000
   3.00000   1.50085   0.87374   1.13358   0.45528   0.00000   0.00000   0.21837  -0.04000
   3.00000   1.47278   0.88384   1.14568   0.43613   0.00000   0.00000   0.20527  -0.04000
   3.00000   1.44471   0.89394   1.15778   0.41710   0.00000   0.00000   0.19257  -0.04000
   3.00000   1.41664   0.90404   1.16988   0.39791   0.00000   0.00000   0.18014  -0.04000
   3.00000   1.38858   0.91414   1.18198   0.37817   0.00000   0.00000   0.16781  -0.04000
   3.00000   1.36051   0.92424   1.19408   0.35731   0.00000   0.00000   0.15535  -0.04000
   3.00000   1.33244   0.93434   1.20618   0.33425   0.00000   0.00000   0.14233  -0.04000
   3.00000   1.30437   0.94444   1.21828   0.30637   0.00000   0.00000   0.12771  -0.04000
   3.00000   1.23085   0.95455   1.23749   0.26699   0.00000   0.00000   0.10502  -0.04000
   3.00000   1.14824   0.96465   1.25812   0.16759   0.00000   0.00000   0.06150  -0.04000
   3.00000   1.12017   0.97475   1.27022   0.14940   0.00000   0.00000   0.05348  -0.04000
   3.00000   1.09210   0.98485   1.28232   0.12234   0.00000   0.00000   0.04270  -0.04000
   3.00000   1.06403   0.99495   1.29442   0.08300   0.00000   0.00000   0.02822  -0.04000
   3.00000   1.05000   1.00000   1.30047   0.00000   0.00000   0.00000   0.00000  -0.04000


