Thickness;AR;X_lew;Etaykink;OEW (kg);DOC (M$_year);Block fuel (kg);LTO_Nox (kg);LTO_CO (kg);LTO UHC (kg);TOTAL GWP (kg);MS;LFL (m);TOFL (m)
15;10.5;10.7;25;12806.40576;12.826432;2106.011679;1.262572716;0.094092538;0.006121461;5450.002142;11.273627;1223.315676;1348.23072
15;10.5;10.8;25;12797.89694;12.825908;2107.155097;1.262395379;0.094091881;0.00612063;5452.891217;14.05287;1222.860772;1348.332451
15;10.5;10.8;26.5;12798.57632;12.826209;2107.364357;1.262434445;0.094092784;0.006120837;5453.454118;14.057082;1221.035474;1347.363601
15;10.5;10.8;28;12799.29452;12.826523;2107.582146;1.262475415;0.094093727;0.006121053;5454.037232;14.062615;1219.138473;1346.358541
15;10.5;10.8;29.79;12800.20435;12.826915;2107.854123;1.262526989;0.09409491;0.006121325;5454.761853;14.070964;1216.76436;1345.101862
15;10.5;10.8;31;12799.74486;12.827106;2108.034041;1.262532493;0.094095627;0.006121373;5455.317098;14.076592;1215.024518;1344.040321
15;10.5;10.8;33.5;12798.91343;12.827537;2108.428849;1.262549316;0.094097203;0.006121498;5456.518185;14.091185;1211.26556;1341.767427
15;11;10.8;33.5;12838.33348;12.855167;2103.816337;1.2634229;0.094100422;0.006125591;5448.415291;12.731539;1213.528652;1337.910402
15;11;10.8;31;12838.96505;12.854709;2103.416416;1.263400256;0.094098825;0.006125438;5447.149162;12.722409;1217.28062;1340.165283
15;11;10.8;29.79;12839.31738;12.854504;2103.234003;1.263391608;0.094098097;0.006125376;5446.565247;12.71909;1219.016202;1341.215407
15;11;10.8;28;12838.51511;12.854113;2102.962356;1.263342899;0.094096926;0.006125117;5445.788562;12.713992;1221.399845;1342.49925
15;11;10.8;26.5;12837.88035;12.8538;2102.744948;1.263304155;0.094095993;0.006124912;5445.164518;12.710842;1223.304299;1343.525191
15;11;10.8;25;12837.27853;12.8535;2102.536197;1.263267163;0.094095098;0.006124715;5444.563134;12.708704;1225.136602;1344.513255
15;11;10.7;25;12845.80725;12.854084;2101.463996;1.263450632;0.094095781;0.006125575;5441.568455;9.858592;1225.600585;1344.613826
15;11;10.7;26.5;12846.40906;12.854387;2101.673704;1.263487693;0.094096676;0.006125772;5442.179928;9.859722;1223.76766;1343.624918
15;11;10.7;28;12847.04375;12.854702;2101.892092;1.263526506;0.094097609;0.006125978;5442.814445;9.861869;1221.862555;1342.598065
15;11;10.7;29.79;12847.84586;12.855096;2102.164935;1.263575299;0.094098781;0.006126237;5443.604173;9.865778;1219.478092;1341.313034
15;11;10.7;31;12847.49339;12.855302;2102.34826;1.263584008;0.094099509;0.006126299;5444.197036;9.868271;1217.741932;1340.262214
15;11;10.7;33.5;12846.86141;12.855765;2102.75012;1.263606779;0.094101106;0.006126453;5445.48268;9.875709;1213.988701;1338.005727
15;11;10.63;33.5;12852.86563;12.856254;2102.062857;1.263739213;0.094101601;0.006127073;5443.495754;7.875;1214.315214;1338.187404
15;11;10.63;31;12853.49778;12.855789;2101.659631;1.263716239;0.094100003;0.006126919;5442.197542;7.868744;1218.069098;1340.444327
15;11;10.63;29.79;12853.85034;12.85558;2101.475683;1.263707489;0.094099275;0.006126857;5441.598837;7.866828;1219.805672;1341.495619
15;11;10.63;28;12853.04832;12.855185;2101.202013;1.263658639;0.094098103;0.006126597;5440.800597;7.863754;1222.19072;1342.781429
15;11;10.63;26.5;12852.41367;12.854868;2100.982949;1.263619778;0.09409717;0.006126391;5440.159241;7.86231;1224.09629;1343.808878
15;11;10.63;25;12851.80816;12.854556;2100.770934;1.263578161;0.094096257;0.006126172;5439.547453;7.861722;1225.919946;1344.772988
15;11;10.5;25;12863.03182;12.855603;2099.61487;1.263831242;0.094097208;0.006127359;5435.945975;4.150106;1226.540468;1345.359661
15;11;10.5;26.5;12863.63362;12.855909;2099.82644;1.26386842;0.094098103;0.006127556;5436.575273;4.149218;1224.706239;1344.369209
15;11;10.5;28;12864.26821;12.856228;2100.046726;1.26390735;0.094099037;0.006127763;5437.228282;4.149356;1222.799769;1343.340677
15;11;10.5;29.79;12865.07006;12.856627;2100.321887;1.263956283;0.094100208;0.006128023;5438.041016;4.150879;1220.413587;1342.053451
15;11;10.5;31;12864.71734;12.856837;2100.506946;1.263965092;0.094100937;0.006128085;5438.649674;4.151719;1218.676211;1341.001252
15;11;10.5;33.5;12864.08842;12.857316;2100.914167;1.263992703;0.094102552;0.006128261;5439.963266;4.155958;1214.930212;1338.767483
15;11;10.4;33.5;12872.77884;12.85826;2100.140871;1.264189975;0.094103295;0.006129186;5437.4011;1.29203;1215.401602;1339.399771
15;11;10.4;31;12873.41183;12.857787;2099.73357;1.264166806;0.094101697;0.006129031;5436.066338;1.289678;1219.158665;1341.660444
15;11;10.4;29.79;12873.76464;12.857575;2099.547695;1.264157945;0.094100969;0.006128968;5435.450867;1.289666;1220.896662;1342.71328
15;11;10.4;28;12872.96289;12.857173;2099.271424;1.264108939;0.094099797;0.006128708;5434.628215;1.289338;1223.283725;1344.00145
15;11;10.4;26.5;12872.32833;12.856852;2099.050227;1.264069947;0.094098863;0.006128501;5433.967225;1.290207;1225.190892;1345.030696
15;11;10.4;25;12871.7265;12.856544;2098.837761;1.264032708;0.094097968;0.006128303;5433.330223;1.292106;1227.02579;1346.021801
15;11;10.3;25;12880.47181;12.857604;2098.157254;1.26423999;0.094098753;0.006129275;5430.856913;-1.568315;1227.517932;1346.863427
