%Alpha[deg]   c[m]     y/(b/2)   Xle/Cr    Clstaz    Cl_bas    Cl_add    Ccl/cavg    Cmac2d
   3.00000   1.97397   0.75253   0.98845   0.89695   0.00000   0.00000   0.56401  -0.04000
   3.00000   1.80970   0.76263   1.00048   0.97443   0.00000   0.00000   0.56174  -0.04000
   3.00000   1.78163   0.77273   1.01258   0.93522   0.00000   0.00000   0.53077  -0.04000
   3.00000   1.75356   0.78283   1.02468   0.89337   0.00000   0.00000   0.49903  -0.04000
   3.00000   1.72549   0.79293   1.03678   0.85326   0.00000   0.00000   0.46900  -0.04000
   3.00000   1.69742   0.80303   1.04887   0.81557   0.00000   0.00000   0.44099  -0.04000
   3.00000   1.66935   0.81313   1.06097   0.78023   0.00000   0.00000   0.41490  -0.04000
   3.00000   1.64128   0.82323   1.07307   0.74702   0.00000   0.00000   0.39056  -0.04000
   3.00000   1.61321   0.83333   1.08516   0.71566   0.00000   0.00000   0.36777  -0.04000
   3.00000   1.58514   0.84343   1.09726   0.68590   0.00000   0.00000   0.34634  -0.04000
   3.00000   1.55707   0.85354   1.10936   0.65749   0.00000   0.00000   0.32612  -0.04000
   3.00000   1.52900   0.86364   1.12145   0.63018   0.00000   0.00000   0.30694  -0.04000
   3.00000   1.50093   0.87374   1.13355   0.60372   0.00000   0.00000   0.28865  -0.04000
   3.00000   1.47286   0.88384   1.14565   0.57783   0.00000   0.00000   0.27111  -0.04000
   3.00000   1.44479   0.89394   1.15774   0.55222   0.00000   0.00000   0.25415  -0.04000
   3.00000   1.41672   0.90404   1.16984   0.52650   0.00000   0.00000   0.23761  -0.04000
   3.00000   1.38865   0.91414   1.18194   0.50015   0.00000   0.00000   0.22124  -0.04000
   3.00000   1.36058   0.92424   1.19404   0.47240   0.00000   0.00000   0.20474  -0.04000
   3.00000   1.33251   0.93434   1.20613   0.44183   0.00000   0.00000   0.18754  -0.04000
   3.00000   1.30444   0.94444   1.21823   0.40496   0.00000   0.00000   0.16827  -0.04000
   3.00000   1.23082   0.95455   1.23747   0.35301   0.00000   0.00000   0.13841  -0.04000
   3.00000   1.14811   0.96465   1.25814   0.22097   0.00000   0.00000   0.08082  -0.04000
   3.00000   1.12008   0.97475   1.27024   0.19701   0.00000   0.00000   0.07029  -0.04000
   3.00000   1.09205   0.98485   1.28233   0.16138   0.00000   0.00000   0.05614  -0.04000
   3.00000   1.06402   0.99495   1.29442   0.10954   0.00000   0.00000   0.03713  -0.04000
   3.00000   1.05000   1.00000   1.30047   0.00000   0.00000   0.00000   0.00000  -0.04000


