Ground distance, CL
  57.724639,    0.849775
  59.195549,    0.849775
  60.708265,    0.849775
  62.235345,    0.849775
  63.787278,    0.849775
  65.364186,    0.849775
  66.983652,    0.849775
  68.605336,    0.849775
  70.280606,    0.849775
  71.964502,    0.849775
  73.696019,    0.849775
  75.439823,    0.849775
  77.216549,    0.849775
  78.997119,    0.849775
  80.821977,    0.849775
  82.685677,    0.849775
  84.559585,    0.849775
  84.942723,    0.849775
  84.988985,    0.849775
  85.028232,    0.849775
  85.061700,    0.849775
  85.096586,    0.849775
  85.132318,    0.849775
  85.140782,    0.849775
  85.147367,    0.849775
  85.150272,    0.849775
  85.172828,    0.849775
  85.193347,    0.849775
  85.297180,    0.849775
  85.779769,    0.849775
  87.181403,    0.849775
  89.157444,    0.849775
  91.120545,    0.849775
  93.115736,    0.849775
  95.156430,    0.849775
  97.224316,    0.849775
  99.311422,    0.849775
 101.446406,    0.849775
 103.603827,    0.849775
 105.785695,    0.849775
 107.996676,    0.849775
 110.248728,    0.849775
 112.526880,    0.849775
 114.828689,    0.849775
 117.178619,    0.849775
 119.552448,    0.849775
 121.965164,    0.849775
 124.387971,    0.849775
 126.863125,    0.849775
 129.377408,    0.849775
 131.903002,    0.849775
 134.469915,    0.849775
 137.069520,    0.849775
 139.694218,    0.849775
 142.358381,    0.849775
 145.066168,    0.849775
 147.788186,    0.849775
 150.554988,    0.849775
 153.349341,    0.849775
 153.462257,    0.849775
 153.564333,    0.849775
 153.570634,    0.849775
 153.573666,    0.849775
 153.576618,    0.849775
 153.606140,    0.849775
 153.782651,    0.849775
 154.431216,    0.849775
 156.173660,    0.849775
 159.149435,    0.849775
 162.049267,    0.849775
 164.997310,    0.849775
 167.976916,    0.849775
 170.993721,    0.849775
 174.030873,    0.849775
 177.113364,    0.849775
 180.226776,    0.849775
 183.387135,    0.849775
 186.580860,    0.849775
 189.823689,    0.849775
 193.104739,    0.849775
 196.406740,    0.849775
 199.770688,    0.849775
 203.160579,    0.849775
 206.577676,    0.849775
 210.023190,    0.849775
 213.512223,    0.849775
 217.067010,    0.849775
 220.624252,    0.849775
 224.246733,    0.849775
 227.903804,    0.849775
 231.582352,    0.849775
 235.316172,    0.849775
 239.072764,    0.849775
 242.875766,    0.849775
 243.029314,    0.849775
 243.147177,    0.849775
 243.246983,    0.849775
 243.333302,    0.849775
 243.413670,    0.849775
 243.481274,    0.849775
 243.545022,    0.849775
 243.564390,    0.849775
 243.578266,    0.849775
 243.585932,    0.849775
 243.603422,    0.849775
 243.619169,    0.849775
 243.720254,    0.849775
 244.175575,    0.849775
 245.782678,    0.849775
 249.798780,    0.849775
 253.732796,    0.849775
 257.682163,    0.849775
 261.685428,    0.849775
 265.726688,    0.849775
 269.817474,    0.849775
 273.955204,    0.849775
 278.125214,    0.849775
 282.340592,    0.849775
 286.577147,    0.849775
 290.869453,    0.849775
 295.213824,    0.849775
 299.588480,    0.849775
 304.012174,    0.849775
 308.473808,    0.849775
 312.967650,    0.849775
 317.513880,    0.849775
 322.108801,    0.849775
 326.743439,    0.849775
 331.415351,    0.849775
 336.165220,    0.849775
 340.942879,    0.849775
 345.739576,    0.849775
 350.605576,    0.849775
 355.496824,    0.849775
 355.693592,    0.849775
 355.861495,    0.849775
 356.004592,    0.849775
 356.174863,    0.849775
 356.221165,    0.849775
 356.273284,    0.849775
 356.292375,    0.849775
 356.305406,    0.849775
 356.310309,    0.849775
 356.315007,    0.849775
 356.358300,    0.849775
 356.625476,    0.849775
 357.558047,    0.849775
 360.631398,    0.849775
 365.526292,    0.849775
 370.550450,    0.849775
 375.634279,    0.849775
 380.751233,    0.849775
 385.911823,    0.849775
 391.134235,    0.849775
 396.369574,    0.849775
 401.666761,    0.849775
 407.005926,    0.849775
 412.394558,    0.849775
 417.815901,    0.849775
 423.326942,    0.849775
 428.865809,    0.849775
 434.456202,    0.849775
 440.089299,    0.849775
 445.751318,    0.849775
 451.479301,    0.849775
 457.266772,    0.849775
 463.070185,    0.849775
 468.931036,    0.849775
 474.842231,    0.849775
 480.783857,    0.849775
 486.792080,    0.849775
 492.850864,    0.849775
 492.916959,    0.849775
 492.951493,    0.849775
 492.974201,    0.849775
 492.989617,    0.849775
 492.994607,    0.849775
 492.999798,    0.849775
 493.051710,    0.849775
 493.324273,    0.849775
