Ground Distance, Speed
1010.839679,   62.367480
1011.314683,   62.375695
1011.793205,   62.383951
1012.274794,   62.392240
1012.752872,   62.400448
1013.233110,   62.408673
1013.712736,   62.416868
1014.194724,   62.425083
1014.675458,   62.433256
1015.159017,   62.441456
1015.647060,   62.449712
1016.133780,   62.457925
1016.622503,   62.466150
1017.109455,   62.474325
1017.598919,   62.482521
1018.087632,   62.490684
1018.576668,   62.498830
1019.066762,   62.506974
1019.559921,   62.515147
1020.055919,   62.523345
1020.553217,   62.531543
1021.051403,   62.539734
1021.549516,   62.547902
1022.047075,   62.556039
1022.543898,   62.564142
1023.043970,   62.572276
1023.545264,   62.580408
1024.047775,   62.588537
1024.551672,   62.596666
1025.054908,   62.604763
1025.559366,   62.612856
1026.067746,   62.620989
1026.575435,   62.629089
1027.083463,   62.637171
1027.597483,   62.645325
1028.109827,   62.653430
1028.625032,   62.661556
1029.135581,   62.669585
1029.649416,   62.677643
1030.162389,   62.685664
1030.676564,   62.693680
1031.195331,   62.701744
1031.714006,   62.709783
1032.232232,   62.717790
1032.751131,   62.725785
1033.269280,   62.733743
1033.790410,   62.741724
1034.315593,   62.749742
1034.840975,   62.757738
1035.372630,   62.765805
1035.897914,   62.773751
1036.425888,   62.781712
1036.957704,   62.789706
1037.487258,   62.797641
1038.022842,   62.805641
1038.558382,   62.813615
1039.092036,   62.821535
1039.623270,   62.829394
1040.154530,   62.837228
1040.694645,   62.845166
1041.235664,   62.853092
1041.772514,   62.860931
1042.314707,   62.868822
1042.854086,   62.876645
1043.398496,   62.884515
1043.946709,   62.892414
1044.497401,   62.900320
1045.042793,   62.908124
1045.587137,   62.915886
1046.135119,   62.923674
1046.687634,   62.931498
1047.242271,   62.939325
1047.795550,   62.947105
1048.354053,   62.954931
1048.906200,   62.962640
1049.460205,   62.970347
1050.020732,   62.978117
1050.581249,   62.985858
1051.133057,   62.993452
1051.695237,   63.001160
1052.255590,   63.008815
1052.822372,   63.016529
1053.383621,   63.024139
1053.948374,   63.031768
1054.515958,   63.039406
1055.079339,   63.046958
1055.641805,   63.054470
1056.213567,   63.062077
1056.786063,   63.069664
1057.359368,   63.077232
1057.933247,   63.084778
1058.508608,   63.092313
1059.078639,   63.099749
1059.652137,   63.107201
1060.234720,   63.114740
1060.806899,   63.122114
1061.388997,   63.129586
1061.974077,   63.137066
1062.556313,   63.144478
1063.141597,   63.151898
1063.722743,   63.159235
1064.309867,   63.166616
1064.899170,   63.173993
1065.488197,   63.181336
1066.074857,   63.188617
1066.661947,   63.195873
1067.259419,   63.203224
1067.848499,   63.210441
1068.438831,   63.217641
1069.027855,   63.224794
1069.627572,   63.232045
1070.222923,   63.239210
1070.816987,   63.246327
1071.411788,   63.253422
1072.007940,   63.260500
1072.606247,   63.267571
1073.208437,   63.274655
1073.814849,   63.281755
1074.417296,   63.288776
1075.024167,   63.295815
1075.628528,   63.302792
1076.235817,   63.309769
1076.838700,   63.316662
1077.444460,   63.323554
1078.058176,   63.330503
1078.671496,   63.337413
1079.281261,   63.344249
1079.890812,   63.351049
1080.499003,   63.357799
1081.114241,   63.364594
1081.738982,   63.371458
1082.354010,   63.378181
1082.972024,   63.384901
1083.585286,   63.391536
1084.204566,   63.398200
1084.821291,   63.404802
1085.440532,   63.411397
1086.061341,   63.417972
1086.680535,   63.424496
1087.315103,   63.431145
1087.936493,   63.437620
1088.561642,   63.444099
1089.192874,   63.450605
1089.817400,   63.457005
1090.443071,   63.463382
1091.071659,   63.469752
1091.703685,   63.476120
1092.329821,   63.482393
1092.959173,   63.488663
1093.590698,   63.494917
1094.223813,   63.501150
1094.860977,   63.507387
1095.491903,   63.513525
1096.127322,   63.519670
1096.768589,   63.525835
1097.401383,   63.531881
1098.035619,   63.537904
1098.674337,   63.543932
1099.315246,   63.549943
1099.957954,   63.555933
1100.598804,   63.561868
1101.242061,   63.567788
1101.887493,   63.573690
1102.541646,   63.579632
1103.189899,   63.585482
1103.837339,   63.591286
1104.475388,   63.596968
1105.118851,   63.602660
1105.769598,   63.608379
1106.428358,   63.614128
1107.070874,   63.619697
1107.716486,   63.625255
1108.369352,   63.630836
1109.016292,   63.636328
1109.672054,   63.641855
1110.327126,   63.647338
1110.979219,   63.652756
1111.635346,   63.658168
1112.288321,   63.663515
1112.947653,   63.668874
1113.605207,   63.674179
1114.260291,   63.679425
1114.917821,   63.684651
1115.576187,   63.689843
1116.230604,   63.694965
1116.888222,   63.700072
1117.552861,   63.705193
1118.215857,   63.710261
1118.881906,   63.715312
1119.543403,   63.720288
1120.204598,   63.725221
1120.875882,   63.730189
1121.543161,   63.735086
1122.210863,   63.739945
1122.879137,   63.744767
1123.552180,   63.749582
1124.221062,   63.754326
1124.888368,   63.759017
1125.554663,   63.763661
1126.222992,   63.768278
1126.894563,   63.772876
1127.567766,   63.777444
1128.242001,   63.781976
1128.922931,   63.786512
1129.597408,   63.790962
1130.271945,   63.795371
1130.942770,   63.799714
1131.620270,   63.804058
1132.293026,   63.808330
1132.975428,   63.812621
1133.652622,   63.816837
1134.329321,   63.821007
1135.009368,   63.825156
1135.688844,   63.829259
1136.364918,   63.833299
1137.049818,   63.837349
1137.734500,   63.841355
1138.414470,   63.845290
1139.099544,   63.849212
1139.779905,   63.853064
1140.461099,   63.856878
1141.144400,   63.860662
1141.827696,   63.864402
1142.511731,   63.868103
1143.203580,   63.871803
1143.891906,   63.875441
1144.581690,   63.879042
1145.266967,   63.882577
1145.951276,   63.886063
1146.639957,   63.889528
1147.324606,   63.892930
1148.008883,   63.896287
1148.700614,   63.899637
1149.393572,   63.902949
1150.092013,   63.906242
1150.791993,   63.909498
1151.486952,   63.912685
1152.181822,   63.915828
1152.881895,   63.918950
1153.583317,   63.922033
1154.273551,   63.925022
