Ground Distance, Emission NOx
 204.315808,  395.310817
 207.623740,  398.609119
 210.949406,  401.907557
 214.282342,  405.206040
 217.659839,  408.504799
 221.057586,  411.815674
 224.482780,  415.141031
 228.031440,  418.474094
 231.588926,  421.807628
 235.146411,  425.141162
 238.703897,  428.474696
 242.261383,  431.808230
 245.818868,  435.141764
 249.376354,  438.475298
 252.933840,  441.808832
 256.491325,  445.142367
 260.136699,  448.480445
 263.933494,  451.826354
 267.730290,  455.172263
 271.527085,  458.518172
 275.323880,  461.864081
 279.120676,  465.209990
 282.917471,  468.555899
 286.714266,  471.901808
 290.511062,  475.247717
 294.307857,  478.593626
 298.193366,  481.943901
 302.231719,  485.301697
 306.270072,  488.659492
 310.308425,  492.017288
 314.346778,  495.375084
 318.385132,  498.732879
 322.423485,  502.090675
 326.461838,  505.448471
 330.500191,  508.806267
 334.538544,  512.164062
 338.664462,  515.525945
 342.941245,  518.894871
 347.218028,  522.263796
 351.494811,  525.632721
 355.771595,  529.001646
 360.048378,  532.370571
 364.325161,  535.739497
 368.601944,  539.108422
 372.878727,  542.477347
 377.155510,  545.846272
 381.518707,  549.219013
 386.030787,  552.598328
 390.542867,  555.977643
 395.054948,  559.356958
 399.567028,  562.736273
 404.079108,  566.115588
 408.591188,  569.494903
 413.103268,  572.874218
 417.615348,  576.253533
 422.127428,  579.632848
 426.724771,  583.015714
 431.469011,  586.404698
 436.213252,  589.793681
 440.957493,  593.182664
 445.701734,  596.571648
 450.445975,  599.960631
 455.190216,  603.349615
 459.934457,  606.738598
 464.678698,  610.127581
 469.422939,  613.516565
 474.251289,  616.908841
 479.224554,  620.306789
 484.197818,  623.704737
 489.171082,  627.102685
 494.144346,  630.500634
 499.117610,  633.898582
 504.090874,  637.296530
 509.064138,  640.694478
 514.037402,  644.092427
 519.010666,  647.490375
 524.030706,  650.895362
 529.134983,  654.316121
 534.262464,  657.760064
 539.513265,  661.212984
 544.765815,  664.666032
 550.018365,  668.119079
 555.270915,  671.572126
 560.523466,  675.025173
 565.776016,  678.478221
 571.028566,  681.931268
 576.281116,  685.384315
 581.533666,  688.837363
 586.786216,  692.290410
 592.257987,  695.759064
 597.732868,  699.227939
 603.207749,  702.696814
 608.682630,  706.165689
 614.157510,  709.634564
 619.632391,  713.103439
 625.107272,  716.572315
 630.582153,  720.041190
 636.057033,  723.510065
 641.531914,  726.978940
 647.223199,  730.462729
 652.917554,  733.946730
 658.611908,  737.430731
 664.306263,  740.914731
 670.000617,  744.398732
 675.694972,  747.882733
 681.389326,  751.366733
 687.083681,  754.850734
 692.778035,  758.334735
 698.472389,  761.818735
 704.380329,  765.316970
 710.291299,  768.815407
 716.202268,  772.313843
 722.113237,  775.812280
 728.024207,  779.310716
 733.935176,  782.809153
 739.846145,  786.307590
 745.757114,  789.806026
 751.668084,  793.304463
 757.579053,  796.802899
 763.700789,  800.314903
 769.825513,  803.827099
 775.950238,  807.339295
 782.074963,  810.851491
 788.199688,  814.363687
 794.324413,  817.875883
 800.449138,  821.388079
 806.573862,  824.900275
 812.698587,  828.412471
 818.823312,  831.924667
 825.155985,  835.449777
 831.491607,  838.975069
 837.827229,  842.500362
 844.162852,  846.025654
 850.498474,  849.550946
 856.834096,  853.076239
 863.169718,  856.601531
 869.505340,  860.126824
 875.840962,  863.652116
 882.176585,  867.177408
 888.679632,  870.712764
 895.185053,  874.248263
 901.690474,  877.783761
 908.195896,  881.319260
 914.701317,  884.854758
 921.206739,  888.390257
 923.223229,  889.486158
 929.831896,  893.027705
 936.440563,  896.569253
 943.049231,  900.110801
 949.684473,  903.654037
 956.382926,  907.201289
 963.081379,  910.748540
 969.779831,  914.295791
 976.478284,  917.843042
 983.197785,  921.390303
 989.977033,  924.937592
 996.756282,  928.484881
1003.560492,  931.994461
1010.402289,  935.447260
1017.244086,  938.900058
1024.100558,  942.353469
1031.076312,  945.811849
1038.052065,  949.270230
1045.027818,  952.728611
1052.003571,  956.186992
1058.979324,  959.645373
1065.955077,  963.103754
1072.930830,  966.562135
1079.906583,  970.020516
1086.882336,  973.478897
1093.879845,  976.938113
1101.054192,  980.404123
1108.228539,  983.870132
1115.402886,  987.336142
1122.577233,  990.802151
1129.751580,  994.268161
1136.925926,  997.734171
1144.100273, 1001.200180
1151.274620, 1004.666190
1158.448967, 1008.132199
1164.837354, 1011.218503
1172.120562, 1014.683117
1179.420936, 1018.144151
1182.371921, 1019.542025
1189.696939, 1022.997188
1197.037894, 1026.448126
1204.393693, 1029.895034
1211.762426, 1033.338344
1219.146096, 1036.777343
1226.545785, 1040.211514
1233.958924, 1043.641509
1241.391728, 1047.064682
1248.840442, 1050.482185
1256.289156, 1053.899688
1263.739000, 1057.316718
1271.227901, 1060.717386
1278.716802, 1064.118054
1286.205702, 1067.518721
1293.712302, 1070.910050
1301.238819, 1074.290869
1308.765336, 1077.671689
1316.291853, 1081.052508
1323.838864, 1084.419280
1331.399497, 1087.776714
1338.960131, 1091.134149
1346.520764, 1094.491583
1354.092453, 1097.838967
1361.678551, 1101.173252
1369.264648, 1104.507537
