*****************************
Basic coeficients
*****************************
Alpha, Cd
    .000    ,   -.2783    
   2.000    ,   -.2867    
   4.000    ,   -.2944    
   8.000    ,   -.3071    
   9.000    ,   -.3097    
   10.00    ,   -.3122    
   12.00    ,   -.3165    
   14.00    ,   -.3203    
   16.00    ,   -.3236    
   18.00    ,   -.3265    
   19.00    ,   -.3276    
   20.00    ,   -.3285    
   21.00    ,   -.3294    
   22.00    ,   -.3307    
   24.00    ,   -.3325    

Alpha, Clr
  -16.00    ,   -.2813E-01
  -8.000    ,    .5431E-01
  -6.000    ,    .7740E-01
  -4.000    ,    .9970E-01
  -2.000    ,    .1210    
    .000    ,    .1412    
   2.000    ,    .1612    
   4.000    ,    .1810    
   8.000    ,    .2189    
   9.000    ,    .2279    
   10.00    ,    .2366    
   12.00    ,    .2491    
   14.00    ,    .2553    
   16.00    ,    .2557    
   18.00    ,    .2494    
   19.00    ,    .2451    
   20.00    ,    .2430    
   21.00    ,    .2357    
   22.00    ,    .2181    
   24.00    ,    .1863    

*****************************
Flap terms
*****************************
Plain flaps
DeltaFlap, CL
  -40.00    ,   -.1453    
  -30.00    ,   -.1232    
  -20.00    ,   -.1062    
  -10.00    ,   -.6142E-01
    .000    ,     .000    
   10.00    ,    .6142E-01
   20.00    ,    .1062    
   30.00    ,    .1232    
   40.00    ,    .1453    

Plain flaps
DeltaFlap, Cm
  -40.00    ,    .4017    
  -30.00    ,    .3419    
  -20.00    ,    .2942    
  -10.00    ,    .1705    
    .000    ,     .000    
   10.00    ,   -.1705    
   20.00    ,   -.2942    
   30.00    ,   -.3419    
   40.00    ,   -.4019    

Cd_Flaps for Plain flaps
Alpha, DeltaFlap
            ,   -40.00    ,   -30.00    ,   -20.00    ,   -10.00    ,     .000    ,    10.00    ,    20.00    ,    30.00    ,    40.00    
  -16.00    ,    .2080E-01,    .1669E-01,    .1380E-01,    .7056E-02,     .000    ,   -.4401E-02,   -.5928E-02,   -.6145E-02,   -.6131E-02
  -8.000    ,    .1398E-01,    .1091E-01,    .8803E-02,    .4154E-02,     .000    ,   -.1499E-02,   -.9315E-03,   -.3609E-03,    .6913E-03
  -6.000    ,    .1242E-01,    .9578E-02,    .7656E-02,    .3488E-02,     .000    ,   -.8329E-03,    .2159E-03,    .9672E-03,    .2258E-02
  -4.000    ,    .1087E-01,    .8269E-02,    .6525E-02,    .2831E-02,     .000    ,   -.1759E-03,    .1347E-02,    .2276E-02,    .3802E-02
  -2.000    ,    .9340E-02,    .6971E-02,    .5403E-02,    .2179E-02,     .000    ,    .4757E-03,    .2469E-02,    .3575E-02,    .5334E-02
    .000    ,    .6097E-02,    .4222E-02,    .3028E-02,    .8001E-03,     .000    ,    .1855E-02,    .4844E-02,    .6324E-02,    .8577E-02
   2.000    ,    .6316E-02,    .4407E-02,    .3188E-02,    .8931E-03,     .000    ,    .1762E-02,    .4684E-02,    .6139E-02,    .8358E-02
   4.000    ,    .4835E-02,    .3152E-02,    .2103E-02,    .2632E-03,     .000    ,    .2392E-02,    .5768E-02,    .7394E-02,    .9839E-02
   8.000    ,    .1918E-02,    .6787E-03,   -.3332E-04,   -.9776E-03,     .000    ,    .3633E-02,    .7905E-02,    .9867E-02,    .1276E-01
   9.000    ,    .1194E-02,    .6482E-04,   -.5637E-03,   -.1286E-02,     .000    ,    .3941E-02,    .8435E-02,    .1048E-01,    .1348E-01
   10.00    ,    .4612E-03,   -.5560E-03,   -.1100E-02,   -.1597E-02,     .000    ,    .4252E-02,    .8972E-02,    .1110E-01,    .1421E-01
   12.00    ,   -.1092E-02,   -.1873E-02,   -.2238E-02,   -.2258E-02,     .000    ,    .4913E-02,    .1011E-01,    .1242E-01,    .1577E-01
   14.00    ,   -.2777E-02,   -.3301E-02,   -.3472E-02,   -.2975E-02,     .000    ,    .5630E-02,    .1134E-01,    .1385E-01,    .1745E-01
   16.00    ,   -.4537E-02,   -.4793E-02,   -.4761E-02,   -.3723E-02,     .000    ,    .6378E-02,    .1263E-01,    .1534E-01,    .1921E-01
   18.00    ,   -.6391E-02,   -.6365E-02,   -.6119E-02,   -.4512E-02,     .000    ,    .7167E-02,    .1399E-01,    .1691E-01,    .2106E-01
   19.00    ,   -.7307E-02,   -.7142E-02,   -.6790E-02,   -.4902E-02,     .000    ,    .7557E-02,    .1466E-01,    .1769E-01,    .2198E-01
   20.00    ,   -.8275E-02,   -.7962E-02,   -.7499E-02,   -.5313E-02,     .000    ,    .7968E-02,    .1537E-01,    .1851E-01,    .2295E-01
   21.00    ,   -.9236E-02,   -.8776E-02,   -.8202E-02,   -.5722E-02,     .000    ,    .8377E-02,    .1607E-01,    .1932E-01,    .2391E-01
   22.00    ,   -.1058E-01,   -.9915E-02,   -.9186E-02,   -.6293E-02,     .000    ,    .8948E-02,    .1706E-01,    .2046E-01,    .2525E-01
   24.00    ,   -.1370E-01,   -.1256E-01,   -.1147E-01,   -.7622E-02,     .000    ,    .1028E-01,    .1935E-01,    .2311E-01,    .2838E-01

*****************************
Aileron terms
*****************************
*****************************
Elevator terms
*****************************
Cd_Elev
Alpha, DeltaElev
            ,   -40.00    ,   -30.00    ,   -20.00    ,   -10.00    ,     .000    ,    10.00    ,    20.00    ,    30.00    ,    40.00    
  -16.00    ,    .2080E-01,    .1669E-01,    .1380E-01,    .7056E-02,   -.5727E-05,   -.4401E-02,   -.5928E-02,   -.6145E-02,   -.6131E-02
  -8.000    ,    .1398E-01,    .1091E-01,    .8803E-02,    .4154E-02,   -.2825E-05,   -.1499E-02,   -.9315E-03,   -.3609E-03,    .6913E-03
  -6.000    ,    .1242E-01,    .9578E-02,    .7656E-02,    .3488E-02,   -.2159E-05,   -.8329E-03,    .2159E-03,    .9672E-03,    .2258E-02
  -4.000    ,    .1087E-01,    .8269E-02,    .6525E-02,    .2831E-02,   -.1502E-05,   -.1759E-03,    .1347E-02,    .2276E-02,    .3802E-02
  -2.000    ,    .9340E-02,    .6971E-02,    .5403E-02,    .2179E-02,   -.8505E-06,    .4757E-03,    .2469E-02,    .3575E-02,    .5334E-02
    .000    ,    .6097E-02,    .4222E-02,    .3028E-02,    .8001E-03,    .5288E-06,    .1855E-02,    .4844E-02,    .6324E-02,    .8577E-02
   2.000    ,    .6316E-02,    .4407E-02,    .3188E-02,    .8931E-03,    .4357E-06,    .1762E-02,    .4684E-02,    .6139E-02,    .8358E-02
   4.000    ,    .4835E-02,    .3152E-02,    .2103E-02,    .2632E-03,    .1066E-05,    .2392E-02,    .5768E-02,    .7394E-02,    .9839E-02
   8.000    ,    .1918E-02,    .6787E-03,   -.3332E-04,   -.9776E-03,    .2307E-05,    .3633E-02,    .7905E-02,    .9867E-02,    .1276E-01
   9.000    ,    .1194E-02,    .6482E-04,   -.5637E-03,   -.1286E-02,    .2614E-05,    .3941E-02,    .8435E-02,    .1048E-01,    .1348E-01
   10.00    ,    .4612E-03,   -.5560E-03,   -.1100E-02,   -.1597E-02,    .2926E-05,    .4252E-02,    .8972E-02,    .1110E-01,    .1421E-01
   12.00    ,   -.1092E-02,   -.1873E-02,   -.2238E-02,   -.2258E-02,    .3587E-05,    .4913E-02,    .1011E-01,    .1242E-01,    .1577E-01
   14.00    ,   -.2777E-02,   -.3301E-02,   -.3472E-02,   -.2975E-02,    .4304E-05,    .5630E-02,    .1134E-01,    .1385E-01,    .1745E-01
   16.00    ,   -.4537E-02,   -.4793E-02,   -.4761E-02,   -.3723E-02,    .5052E-05,    .6378E-02,    .1263E-01,    .1534E-01,    .1921E-01
   18.00    ,   -.6391E-02,   -.6365E-02,   -.6119E-02,   -.4512E-02,    .5840E-05,    .7167E-02,    .1399E-01,    .1691E-01,    .2106E-01
   19.00    ,   -.7307E-02,   -.7142E-02,   -.6790E-02,   -.4902E-02,    .6232E-05,    .7557E-02,    .1466E-01,    .1769E-01,    .2198E-01
   20.00    ,   -.8275E-02,   -.7962E-02,   -.7499E-02,   -.5313E-02,    .6641E-05,    .7968E-02,    .1537E-01,    .1851E-01,    .2295E-01
   21.00    ,   -.9236E-02,   -.8776E-02,   -.8202E-02,   -.5722E-02,    .7057E-05,    .8377E-02,    .1607E-01,    .1932E-01,    .2391E-01
   22.00    ,   -.1058E-01,   -.9915E-02,   -.9186E-02,   -.6293E-02,    .7626E-05,    .8948E-02,    .1706E-01,    .2046E-01,    .2525E-01
   24.00    ,   -.1370E-01,   -.1256E-01,   -.1147E-01,   -.7622E-02,    .8948E-05,    .1028E-01,    .1935E-01,    .2311E-01,    .2838E-01

DeltaElev, CL_Elev
  -40.00    ,   -.1453    
  -30.00    ,   -.1232    
  -20.00    ,   -.1062    
  -10.00    ,   -.6142E-01
    .000    ,    .6142E-04
   10.00    ,    .6142E-01
   20.00    ,    .1062    
   30.00    ,    .1232    
   40.00    ,    .1453    

DeltaElev, Cm_Elev
  -40.00    ,    .4017    
  -30.00    ,    .3419    
  -20.00    ,    .2942    
  -10.00    ,    .1705    
    .000    ,   -.1706E-03
   10.00    ,   -.1705    
   20.00    ,   -.2942    
   30.00    ,   -.3419    
   40.00    ,   -.4019    

DeltaElev, CLa_Elev
  -40.00    ,     .000    
  -30.00    ,     .000    
  -20.00    ,     .000    
  -10.00    ,     .000    
    .000    ,     .000    
   10.00    ,     .000    
   20.00    ,     .000    
   30.00    ,     .000    
   40.00    ,     .000    

DeltaElev, Cha_Elev
  -40.00    ,   -.2441E-02
  -30.00    ,   -.2441E-02
  -20.00    ,   -.2441E-02
  -10.00    ,   -.2441E-02
    .000    ,   -.2441E-02
   10.00    ,   -.2441E-02
   20.00    ,   -.2441E-02
   30.00    ,   -.2441E-02
   40.00    ,   -.2441E-02

DeltaElev, Chd_Elev
  -40.00    ,   -.5407E-02
  -30.00    ,   -.5325E-02
  -20.00    ,   -.5114E-02
  -10.00    ,   -.4965E-02
    .000    ,   -.4965E-02
   10.00    ,   -.4965E-02
   20.00    ,   -.5114E-02
   30.00    ,   -.5325E-02
   40.00    ,   -.5407E-02



