Ground Distance, Emission H2O
1033.422777, 51864.514621
1040.165245, 52046.937666
1045.827981, 52200.147684
1052.668000, 52382.642731
1059.508018, 52565.137778
1066.434821, 52747.757542
1073.393907, 52930.423702
1080.352994, 53113.089862
1087.312080, 53295.756022
1094.271167, 53478.422182
1101.230253, 53661.088342
1108.189340, 53843.754502
1115.148426, 54026.420662
1122.107513, 54209.086822
1129.066599, 54391.752981
1136.165693, 54574.601758
1143.316869, 54757.518468
1150.468046, 54940.435179
1157.619223, 55123.351889
1164.770399, 55306.268600
1171.921576, 55489.185310
1179.072752, 55672.102021
1186.223929, 55855.018731
1193.375105, 56037.935441
1200.526282, 56220.852152
1207.814836, 56403.937312
1215.154496, 56587.085135
1222.494155, 56770.232959
1229.833814, 56953.380783
1237.173474, 57136.528607
1244.513133, 57319.676430
1251.852792, 57502.824254
1259.192451, 57685.972078
1266.532111, 57869.119902
1273.871770, 58052.267725
1275.861837, 58101.926225
1283.372677, 58285.266806
1290.883517, 58468.607386
1298.394357, 58651.947967
1305.905197, 58835.288548
1313.416036, 59018.629129
1320.926876, 59201.969710
1328.437716, 59385.310291
1335.948556, 59568.650871
1343.459396, 59751.991452
1350.970236, 59935.332033
1358.579988, 60118.762955
1366.189741, 60302.193877
1373.799493, 60485.624799
1381.409246, 60669.055720
1389.018998, 60852.486642
1396.681233, 61035.950083
1404.343469, 61219.413523
1412.005704, 61402.876964
1419.667940, 61586.340405
1427.330175, 61769.803845
1435.047737, 61953.276852
1442.765299, 62136.749859
1450.482861, 62320.222866
1458.200423, 62503.695873
1465.917985, 62687.168881
1473.635547, 62870.641888
1481.353108, 63054.114895
1489.070670, 63237.587902
