*****************************
Basic coeficients
*****************************
Alpha, Cd
  -2.000    ,    .8846E-02,    .6614E-02,    .5135E-02,    .2086E-02,   -.8429E-06,    .3973E-03,    .2227E-02,    .3249E-02,    .4877E-02
    .000    ,    .5622E-02,    .3880E-02,    .2773E-02,    .7142E-03,    .5286E-06,    .1769E-02,    .4589E-02,    .5982E-02,    .8102E-02
   2.000    ,    .5890E-02,    .4108E-02,    .2969E-02,    .8282E-03,    .4146E-06,    .1655E-02,    .4393E-02,    .5755E-02,    .7834E-02
   4.000    ,    .4434E-02,    .2873E-02,    .1903E-02,    .2089E-03,    .1034E-05,    .2274E-02,    .5459E-02,    .6989E-02,    .9289E-02
   8.000    ,    .1546E-02,    .4247E-03,   -.2127E-03,   -.1020E-02,    .2262E-05,    .3503E-02,    .7575E-02,    .9438E-02,    .1218E-01
   9.000    ,    .8219E-03,   -.1889E-03,   -.7428E-03,   -.1328E-02,    .2570E-05,    .3811E-02,    .8105E-02,    .1005E-01,    .1290E-01
   10.00    ,    .8053E-04,   -.8174E-03,   -.1286E-02,   -.1643E-02,    .2886E-05,    .4126E-02,    .8648E-02,    .1068E-01,    .1364E-01
   12.00    ,   -.1524E-02,   -.2178E-02,   -.2461E-02,   -.2326E-02,    .3569E-05,    .4809E-02,    .9823E-02,    .1204E-01,    .1525E-01
   14.00    ,   -.3262E-02,   -.3651E-02,   -.3734E-02,   -.3065E-02,    .4308E-05,    .5548E-02,    .1110E-01,    .1351E-01,    .1699E-01
   16.00    ,   -.5083E-02,   -.5195E-02,   -.5068E-02,   -.3840E-02,    .5082E-05,    .6323E-02,    .1243E-01,    .1506E-01,    .1881E-01
   18.00    ,   -.6892E-02,   -.6728E-02,   -.6393E-02,   -.4609E-02,    .5851E-05,    .7092E-02,    .1375E-01,    .1659E-01,    .2062E-01
   19.00    ,   -.7802E-02,   -.7500E-02,   -.7059E-02,   -.4996E-02,    .6238E-05,    .7479E-02,    .1442E-01,    .1736E-01,    .2153E-01
   20.00    ,   -.8768E-02,   -.8319E-02,   -.7767E-02,   -.5407E-02,    .6648E-05,    .7890E-02,    .1513E-01,    .1818E-01,    .2249E-01
   21.00    ,   -.1009E-01,   -.9442E-02,   -.8737E-02,   -.5970E-02,    .7215E-05,    .8454E-02,    .1610E-01,    .1930E-01,    .2382E-01
   22.00    ,   -.1147E-01,   -.1061E-01,   -.9746E-02,   -.6557E-02,    .7801E-05,    .9040E-02,    .1711E-01,    .2047E-01,    .2519E-01
   24.00    ,   -.1394E-01,   -.1270E-01,   -.1156E-01,   -.7607E-02,    .8849E-05,    .1009E-01,    .1892E-01,    .2257E-01,    .2766E-01

DeltaElev, CL_Elev
  -40.00    ,   -.1189    
  -30.00    ,   -.1008    
  -20.00    ,   -.8695E-01
  -10.00    ,   -.5027E-01
    .000    ,    .5027E-04
   10.00    ,    .5027E-01
   20.00    ,    .8695E-01
   30.00    ,    .1008    
   40.00    ,    .1189    

DeltaElev, Cm_Elev
  -40.00    ,    .5992E-01
  -30.00    ,    .5100E-01
  -20.00    ,    .4388E-01
  -10.00    ,    .2543E-01
    .000    ,   -.2544E-04
   10.00    ,   -.2543E-01
   20.00    ,   -.4388E-01
   30.00    ,   -.5100E-01
   40.00    ,   -.5993E-01

DeltaElev, CLa_Elev
  -40.00    ,     .000    
  -30.00    ,     .000    
  -20.00    ,     .000    
  -10.00    ,     .000    
    .000    ,     .000    
   10.00    ,     .000    
   20.00    ,     .000    
   30.00    ,     .000    
   40.00    ,     .000    

DeltaElev, Cha_Elev
  -40.00    ,   -.2611E-02
  -30.00    ,   -.2611E-02
  -20.00    ,   -.2611E-02
  -10.00    ,   -.2611E-02
    .000    ,   -.2611E-02
   10.00    ,   -.2611E-02
   20.00    ,   -.2611E-02
   30.00    ,   -.2611E-02
   40.00    ,   -.2611E-02

DeltaElev, Chd_Elev
  -40.00    ,   -.5823E-02
  -30.00    ,   -.5741E-02
  -20.00    ,   -.5530E-02
  -10.00    ,   -.5380E-02
    .000    ,   -.5380E-02
   10.00    ,   -.5380E-02
   20.00    ,   -.5530E-02
   30.00    ,   -.5741E-02
   40.00    ,   -.5823E-02



