Time, Energies
   2.045602, 15623291.489424
   2.045629, 15679138.310209
   2.045657, 15734985.482247
   2.045685, 15790833.005540
   2.045713, 15846690.500718
   2.045741, 15902550.296854
   2.045768, 15958410.525202
   2.045796, 16014271.185762
   2.045824, 16070132.278533
   2.045852, 16125993.803516
   2.045879, 16181855.760710
   2.045907, 16237718.150116
   2.045935, 16293580.971733
   2.045963, 16349444.225562
   2.045991, 16405296.404411
   2.046018, 16461146.686466
   2.046046, 16516997.307192
   2.046074, 16572848.266591
   2.046102, 16628699.564661
   2.046129, 16684551.201404
   2.046157, 16740403.176820
   2.046185, 16796255.490907
   2.046213, 16852108.143666
   2.046241, 16907961.135098
   2.046268, 16963845.098879
   2.046296, 17019735.593936
   2.046324, 17075626.668489
   2.046352, 17131518.322536
   2.046379, 17187410.556079
   2.046407, 17243303.369117
   2.046435, 17299196.761650
   2.046463, 17355090.733678
   2.046491, 17410985.285202
   2.046518, 17466880.416221
   2.046546, 17522779.855911
   2.046574, 17578680.628093
   2.046602, 17634582.008152
   2.046629, 17690483.996090
   2.046657, 17746386.591905
   2.046685, 17802289.795599
   2.046713, 17858193.607171
   2.046741, 17914098.026621
   2.046768, 17970003.053949
   2.046796, 18025908.689155
   2.046824, 18081798.418855
   2.046852, 18137685.425610
   2.046879, 18193572.918438
   2.046907, 18249460.897340
   2.046935, 18305349.362315
   2.046963, 18361238.313363
   2.046991, 18417127.750486
   2.047018, 18473017.673681
   2.047046, 18528908.082950
   2.047074, 18584798.978293
   2.047102, 18640684.413713
   2.047129, 18696569.137078
   2.047157, 18752454.303971
   2.047185, 18808339.914392
   2.047213, 18864225.968342
   2.047241, 18920112.465820
   2.047268, 18975999.406826
   2.047296, 19031886.791361
   2.047324, 19087774.619424
   2.047352, 19143662.891015
   2.047379, 19199550.782757
   2.047407, 19255438.952273
   2.047435, 19311327.559596
   2.047463, 19367216.604728
   2.047491, 19423106.087668
   2.047518, 19478996.008416
   2.047546, 19534886.366972
   2.047574, 19590777.163336
   2.047602, 19646668.397508
   2.047629, 19702560.069488
   2.047657, 19758463.038100
   2.047685, 19814368.628558
   2.047713, 19870274.730133
   2.047741, 19926181.342824
   2.047768, 19982088.466631
   2.047796, 20037996.101555
   2.047824, 20093904.247594
   2.047852, 20149812.904750
   2.047879, 20205722.073022
   2.047907, 20261631.752410
   2.047935, 20317527.797565
   2.047963, 20373421.511186
   2.047991, 20429315.643051
