Vfailure/VsTO, Distance
   0.808308, 1044.522769
   0.808859, 1045.859528
   0.809409, 1047.196287
   0.809960, 1048.533046
   0.810511, 1049.869805
   0.811061, 1051.206565
   0.811612, 1052.543324
   0.812162, 1053.880083
   0.812713, 1055.216842
   0.813263, 1056.553601
   0.813814, 1057.890360
   0.814364, 1059.227119
   0.814915, 1060.563878
   0.815465, 1061.900637
   0.816016, 1063.237396
   0.816567, 1064.574155
   0.817117, 1065.910914
   0.817668, 1067.247673
   0.818218, 1068.584433
   0.818769, 1069.921192
   0.819319, 1071.257951
   0.819870, 1072.594710
   0.820420, 1073.931469
   0.820971, 1075.268228
   0.821522, 1076.604987
   0.822072, 1077.941746
   0.822623, 1079.278505
   0.823173, 1080.615264
   0.823724, 1081.952023
   0.824274, 1083.288782
   0.824825, 1084.625541
   0.825375, 1085.962300
   0.825926, 1087.299060
   0.826476, 1088.635819
   0.827027, 1089.972578
   0.827578, 1091.309337
   0.828128, 1092.646096
   0.828679, 1093.982855
   0.829229, 1095.319614
   0.829780, 1096.656373
   0.830330, 1097.993132
   0.830881, 1099.329891
   0.831431, 1100.666650
   0.831982, 1102.003409
   0.832533, 1103.340168
   0.833083, 1104.676928
   0.833634, 1106.013687
   0.834184, 1107.350446
   0.834735, 1108.687205
   0.835285, 1110.023964
   0.835836, 1111.360723
   0.836386, 1112.697482
   0.836937, 1114.034241
   0.837487, 1115.371000
   0.838038, 1116.707759
   0.838589, 1118.044518
   0.839139, 1119.381277
   0.839690, 1120.718036
   0.840240, 1122.054796
   0.840791, 1123.391555
   0.841341, 1124.728314
   0.841892, 1126.065073
   0.842442, 1127.401832
   0.842993, 1128.738591
   0.843544, 1130.075350
   0.844094, 1131.412109
   0.844645, 1132.748868
   0.845195, 1134.085627
   0.845746, 1135.422386
   0.846296, 1136.759145
   0.846847, 1138.095904
   0.847397, 1139.432664
   0.847948, 1140.769423
   0.848498, 1142.106182
   0.849049, 1143.442941
   0.849600, 1144.779700
   0.850150, 1146.116459
   0.850701, 1147.453218
   0.851251, 1148.789977
   0.851802, 1150.126736
   0.852352, 1151.463495
   0.852903, 1152.800254
   0.853453, 1154.137013
   0.854004, 1155.473772
   0.854555, 1156.810531
   0.855105, 1158.147291
   0.855656, 1159.484050
   0.856206, 1160.820809
   0.856757, 1162.157568
   0.857307, 1163.494327
   0.857858, 1164.831086
   0.858408, 1166.167845
   0.858959, 1167.504604
