BlockFuel[kg], BlockTime[min]
5525.262055,  278.943871
5859.566192,  274.972243
5578.330583,  278.377971
6624.781042,  267.259181
6874.113369,  265.084992
6056.970041,  272.798257
5428.291103,  280.767960
6573.014314,  267.728610
5770.775060,  275.946695
6044.689632,  272.933496
6632.113898,  267.189606
6299.211025,  270.352550
6513.649179,  268.313678
5755.378296,  276.119627
6297.584226,  270.363821
5481.284251,  279.771010
5681.240446,  277.076232
6213.064146,  271.232177
5526.840141,  278.914127
6068.606088,  272.698560
5637.858909,  277.627062
6085.839681,  272.529054
6943.285307,  264.477667
5784.409433,  275.775535
5882.086006,  274.724236
6595.374545,  267.538241
6622.895717,  267.277070
5893.187277,  274.647128
6947.581713,  264.439945
5792.046223,  275.679683
5922.765905,  274.276235
6019.777136,  273.194209
5455.696223,  280.252394
6355.839358,  269.811071
6269.262052,  270.661715
6424.007675,  269.164251
6892.786848,  264.924092
6760.497613,  266.083275
6340.489515,  269.938682
5527.233320,  278.906534
6345.684262,  269.908820
5589.542464,  278.221611
6933.476104,  264.564035
6183.676748,  271.530487
6773.636616,  266.007100
6062.344199,  272.739067
5330.632531,  282.605171
6907.829407,  264.788967
5365.701956,  281.945425
6031.088784,  273.079389
5514.746299,  279.141478
6209.425255,  271.304127
5517.883931,  279.082446
6226.225888,  271.099770
6046.088664,  272.918088
6325.770751,  270.088095
5491.099975,  279.459367
5739.940261,  276.289646
6275.735037,  270.633154
6603.614880,  267.459945
5791.316639,  275.688841
6165.274228,  271.886159
6929.119458,  264.604735
6033.981904,  273.049978
6908.853953,  264.779972
5590.865732,  278.205029
6309.904929,  270.249173
6477.793336,  268.653900
6342.653177,  269.916718
5984.320655,  273.598341
5503.815812,  279.297643
6072.677865,  272.657228
5355.621161,  282.135075
6013.419657,  273.258748
6383.043417,  269.552943
5489.332077,  279.479435
5614.455312,  277.908896
5973.295327,  273.728215
5525.782319,  278.933837
5590.195933,  278.213408
6080.738211,  272.575408
6605.727495,  267.439915
6317.026772,  270.179369
6677.585135,  266.810496
6039.956301,  272.989387
5742.932837,  276.256685
6038.928597,  272.999841
5585.264197,  278.275313
6045.203918,  272.927832
6530.216714,  268.156476
5517.099993,  279.097195
5405.306479,  281.200386
6040.596541,  272.978575
5744.978546,  276.239480
6604.682468,  267.449787
6481.292662,  268.620697
6618.958785,  267.318353
6871.813451,  265.105185
5749.292074,  276.186651
5720.123193,  276.582506
6919.460390,  264.686848
6362.964420,  269.743464
5725.676088,  276.512803
6593.693214,  267.547052
6570.008720,  267.778904
5932.918886,  274.164422
6359.960127,  269.773767
5510.806031,  279.209922
6565.312866,  267.825649
6416.278290,  269.237591
5469.120299,  280.007104
5757.370779,  276.097685
5597.667514,  278.119622
6924.840518,  264.639611
6575.163873,  267.709741
5846.792318,  275.112919
5776.589311,  275.873711
6920.631591,  264.676565
5516.561496,  279.107290
6597.056138,  267.517532
5729.793445,  276.461120
6699.105003,  266.622666
5335.701989,  282.514057
5611.119630,  277.950767
6016.541674,  273.227051
5838.817848,  275.201672
6077.401698,  272.609417
5771.549127,  275.937914
5456.940560,  280.233925
6314.746505,  270.199895
6816.103303,  265.594317
5653.368735,  277.421673
5927.167849,  274.227757
6422.181532,  269.183343
6029.131638,  273.099255
5642.527011,  277.557729
6621.098347,  267.294131
5926.647000,  274.233493
5375.111889,  281.768400
6126.727260,  272.108577
5807.210661,  275.548824
5738.682858,  276.349536
6301.183451,  270.337681
6336.523079,  269.978946
6295.924092,  270.379573
6811.045260,  265.638733
5682.692474,  277.052355
6927.311883,  264.617912
5788.873922,  275.720710
5722.938881,  276.547162
5817.725468,  275.434684
6033.130822,  273.058662
5307.031360,  283.049169
5583.731263,  278.305666
5467.303424,  280.034030
5410.052551,  281.111075
6334.492460,  269.999554
5777.125417,  275.867416
6422.771845,  269.175977
6842.361069,  265.363775
6894.877599,  264.902684
5764.947431,  276.014252
5794.035620,  275.654882
5668.765450,  277.227173
5899.097130,  274.536896
5632.927201,  277.677061
5509.968068,  279.219911
5789.940717,  275.706103
6598.166973,  267.507779
5671.235419,  277.196169
6706.450002,  266.563685
5825.216440,  275.350530
6877.072831,  265.079673
5912.770934,  274.386308
6634.328434,  267.168590
6883.946643,  264.998657
5512.656927,  279.179979
6097.297325,  272.422249
6628.251429,  267.226252
6490.282233,  268.535839
5322.938631,  282.750496
5306.157716,  283.066895
6301.428036,  270.327354
6599.074319,  267.499809
5475.065614,  279.888001
5989.768033,  273.538350
6607.109271,  267.426867
6281.685908,  270.549401
5512.197226,  279.189652
6543.791524,  268.027669
6307.002652,  270.278638
6809.033380,  265.656390
6546.448872,  268.002467
5886.244989,  274.678434
6650.599879,  267.047424
6234.501394,  271.027364
6319.947306,  270.147205
6577.790555,  267.686914
5468.121148,  280.018646
6517.167259,  268.280297
5825.696560,  275.345243
6031.000570,  273.084293
6228.840962,  271.072028
6570.267665,  267.752726
5597.091063,  278.126858
6282.218686,  270.509618
5507.358144,  279.253188
6539.403576,  268.079199
5399.267808,  281.323000
6326.894969,  270.076683
5575.882710,  278.393072
6867.014652,  265.147318
6353.757145,  269.834651
6317.961729,  270.167361
5953.930453,  273.933108
5600.969858,  278.084219
5503.122205,  279.306373
6912.453449,  264.748818
5518.566878,  279.069596
5937.513049,  274.113827
5732.714103,  276.424459
6290.015740,  270.435639
6292.067371,  270.416462
5542.818008,  278.817632
6899.919726,  264.858414
5791.001949,  275.692792
5492.546821,  279.440644
5747.001196,  276.217154
6942.211605,  264.487188
6327.875463,  270.066729
5343.471024,  282.384691
6699.663445,  266.616650
5564.057397,  278.552927
6255.427725,  270.803289
5467.579656,  280.028833
6905.600629,  264.808536
5919.817976,  274.311897
5649.966854,  277.488680
6463.920061,  268.785538
5782.319291,  275.809538
5422.967017,  280.868120
5502.094667,  279.319244
6294.155643,  270.396352
5581.372941,  278.324157
6440.712726,  269.007894
6429.368838,  269.113426
6291.064827,  270.425680
5752.631670,  276.149874
5500.251798,  279.342401
5542.978960,  278.806089
6460.784511,  268.815290
6093.941529,  272.442793
5982.627816,  273.616984
6304.526892,  270.298913
6021.735902,  273.186871
5793.064554,  275.666899
6060.777825,  272.756317
5768.923938,  275.969932
6024.510568,  273.147471
6586.570113,  267.609591
6610.546379,  267.399100
6709.453398,  266.530886
5560.908734,  278.581030
5505.354815,  279.279637
5746.146186,  276.221306
6337.572770,  269.968291
5762.744106,  276.047565
6012.192651,  273.271197
5991.464341,  273.519668
5764.149013,  276.029928
5529.178113,  278.869933
6508.287667,  268.364552
5789.154899,  275.718708
5509.231284,  279.229693
5833.071819,  275.264020
6286.410921,  270.469839
5721.790619,  276.561576
6450.889770,  268.909818
6946.646032,  264.448160
5773.840685,  275.908206
6144.558624,  271.927573
5967.466091,  273.788448
5496.863790,  279.395703
6134.557833,  272.029090
6495.077808,  268.489895
6431.606666,  269.105636
6329.991075,  270.045254
6562.714817,  267.848136
5466.379123,  280.051419
6281.980289,  270.511881
5365.414184,  281.952620
6054.315488,  272.827492
5760.709691,  276.060917
6551.604600,  267.964450
5363.878275,  281.979734
5772.901373,  275.919998
5625.325094,  277.785766
5735.135769,  276.394061
5547.937415,  278.757953
5740.913923,  276.278920
6284.320300,  270.489679
5763.014256,  276.035546
6393.643184,  269.452443
6580.870969,  267.659628
6592.458811,  267.557890
6691.059024,  266.692196
5493.557452,  279.426426
6192.625409,  271.439650
5522.141112,  279.004083
5489.050862,  279.482965
6590.092787,  267.578663
6627.385587,  267.234467
6780.549535,  265.914421
6448.689784,  268.930052
6047.831576,  272.898893
6305.885094,  270.289981
6527.572999,  268.181561
6321.004332,  270.136662
5758.150028,  276.089104
6241.820395,  270.946825
6338.574126,  269.958126
5523.013752,  278.989069
6357.000999,  269.802189
6388.739730,  269.498893
6375.485331,  269.625308
5686.024145,  277.010534
6313.766435,  270.209880
6438.174345,  269.029829
5743.684994,  276.248409
6624.708231,  267.262066
6323.613397,  270.109989
6245.191039,  270.906059
5964.967843,  273.833730
6936.279295,  264.539179
5647.488015,  277.497596
5931.035864,  274.186382
5787.287576,  275.739700
5472.372844,  279.938660
6574.049988,  267.719520
5568.615076,  278.484298
6036.866935,  273.019522
5786.456664,  275.750030
5485.395016,  279.528871
6006.717728,  273.326864
5511.657978,  279.199965
6796.268031,  265.768469
6600.498469,  267.489624
5986.391762,  273.575532
6035.054411,  273.039128
6794.517735,  265.783837
6286.039531,  270.473363
6832.241327,  265.452626
5781.011981,  275.818183
5768.115693,  275.979365
6000.429423,  273.420937
6442.262334,  268.991040
6858.354399,  265.223355
6028.188720,  273.108826
5752.014537,  276.156670
5501.412399,  279.327807
5780.173168,  275.828713
6048.972996,  272.886329
6926.463790,  264.628763
6572.506086,  267.734010
6322.362987,  270.122682
6055.422999,  272.815295
5451.270264,  280.335659
6351.831050,  269.849104
6373.140396,  269.646909
6541.279889,  268.051501
6267.210505,  270.696352
5848.989245,  275.091109
6010.737126,  273.285978
6334.014326,  270.004413
6658.107421,  267.029357
6050.884351,  272.865280
6629.107280,  267.218131
5434.199433,  280.657040
6944.604005,  264.468430
6765.558321,  266.038098
6755.758511,  266.124140
6042.875662,  272.959778
5782.476382,  275.799800
6609.378228,  267.409353
6027.924410,  273.118202
6137.442642,  271.999806
5974.702199,  273.704268
5785.285318,  275.764540
6447.476146,  268.949570
5769.714464,  275.959785
5761.841046,  276.052805
6810.794132,  265.640931
6146.508130,  271.918659
6576.343439,  267.699385
6017.311738,  273.219234
5564.629020,  278.534332
6060.039779,  272.769087
6596.249133,  267.529934
5591.945125,  278.191594
6617.329370,  267.329888
6253.110383,  270.825670
6662.167529,  266.945861
6613.831842,  267.367858
5835.897604,  275.232901
6413.500879,  269.278504
5488.153530,  279.494229
5923.683397,  274.266187
6312.816654,  270.219232
6566.333939,  267.814469
5924.294101,  274.259680
6269.736283,  270.656901
6509.785425,  268.350623
5670.609835,  277.204021
5853.458452,  275.039506
6302.307518,  270.319004
6521.873421,  268.245070
5644.996826,  277.525691
5756.452531,  276.107808
5403.819666,  281.228332
5334.138477,  282.539215
6863.011395,  265.182467
6930.792547,  264.587352
6631.182397,  267.198441
5617.974040,  277.864727
6308.658378,  270.258746
5337.636812,  282.473403
5296.191194,  283.253100
6187.323269,  271.523704
5751.236544,  276.165238
6319.076244,  270.159899
5704.041409,  276.795443
6940.120278,  264.505456
6358.514242,  269.785690
6315.920877,  270.189841
5484.044542,  279.545816
6008.475512,  273.309517
5876.387272,  274.786995
5739.796154,  276.291232
6032.248161,  273.067624
6906.862990,  264.797453
5544.579511,  278.794263
5565.386179,  278.524828
6283.297455,  270.499382
5528.525946,  278.882842
6561.072105,  267.868700
6307.665687,  270.268165
5526.400516,  278.923057
6400.161498,  269.390517
5775.349433,  275.890190
6180.890768,  271.609065
6916.825768,  264.709980
6239.433550,  270.985740
5524.021420,  278.966970
6821.905469,  265.543374
5508.480860,  279.239275
