Ground Distance, Angular Velocity
1208.185921,    0.000000
1217.961398,    0.000000
1227.790722,    0.000000
1237.691277,    0.000000
1247.631110,    0.000000
1257.637529,    0.000000
1267.680968,    0.000000
1277.824482,    0.000000
1287.989376,    0.000000
1298.203235,    0.000000
1308.478325,    0.000000
1318.785060,    0.000000
1329.146498,    0.000000
1339.566951,    0.000000
1350.057520,    0.000000
1360.589285,    0.000000
1371.140283,    0.000000
1381.805734,    0.000000
1392.496188,    0.000000
1403.231530,    0.000000
1414.030782,    0.000000
1424.909733,    0.000000
1435.806109,    0.000000
1446.755995,    0.000000
1457.762575,    0.000000
1468.826474,    0.000000
1479.952671,    0.000000
1491.136646,    0.000000
1502.386923,    0.000000
1513.665088,    0.000000
1525.018350,    0.000000
1527.293302,    0.000000
1529.201943,    0.000000
1530.691301,    0.000000
1530.750150,    0.000000
1530.865203,    0.000000
1530.900214,    0.000000
1530.909803,    0.000000
1530.917898,    0.000000
1530.925225,    0.000000
1530.998497,    0.000000
1531.559277,    0.000000
1534.712113,    0.000000
1544.593758,    0.000000
1556.050995,    0.000000
1567.522093,    0.000000
1579.082580,    0.000000
1590.650464,    0.000000
1602.311056,    0.000000
1613.988811,    0.000000
1625.743540,    0.000000
1637.550949,    0.000000
1649.416823,    0.000000
1661.368186,    0.000000
1673.385018,    0.000000
1685.433915,    0.000000
1697.507189,    0.000000
1709.686412,    0.000000
1721.880825,    0.000000
1734.177725,    0.000000
1746.513400,    0.000000
1758.900426,    0.000000
1771.354043,    0.000000
1783.865110,    0.000000
1796.404823,    0.000000
1809.013390,    0.000000
1821.675113,    0.000000
1834.394057,    0.000000
1847.183422,    0.000000
1860.028466,    0.000000
1872.930362,    0.000000
1885.880209,    0.000000
1898.868812,    0.000000
1911.939325,    0.000000
1925.058731,    0.000000
1938.258709,    0.000000
1951.506634,    0.000000
1964.792212,    0.000000
1978.139226,    0.000000
1991.581202,    0.000000
2005.038375,    0.000000
2018.585232,    0.000000
2032.176735,    0.000000
2045.839591,    0.000000
2049.371158,    0.000000
2059.554650,    0.000000
2073.311865,    0.000000
2087.152819,    0.000000
2101.084596,    0.000000
2115.093908,    0.000000
2129.142469,    0.000000
2143.258494,    0.000000
2157.454777,    0.000000
2171.748319,    0.000000
2186.059656,    0.000000
2200.472433,    0.000000
2214.920798,    0.000000
2229.453657,    0.000000
2244.037254,    0.000000
2258.688573,    0.000000
2273.397372,    0.000000
2288.158071,    0.000000
2302.931569,    0.000000
2317.779429,    0.000000
2332.640062,    0.000000
2347.583284,    0.000000
2362.567251,    0.000000
2377.598290,    0.000000
2392.677419,    0.000000
2407.813514,    0.000000
2422.970220,    0.000000
2438.156648,    0.000000
2453.385536,    0.000000
2454.413426,    0.552256
2455.442174,    0.563283
2456.466395,    0.574294
2457.493191,    0.585272
2458.523746,    0.596274
2459.552729,    0.607291
2460.584492,    0.618298
2461.618355,    0.629325
2462.652126,    0.640359
2463.686861,    0.651388
2464.722444,    0.662419
2465.758339,    0.673450
2466.795316,    0.684478
2467.832567,    0.695508
2468.866914,    0.706522
2469.907597,    0.717527
2470.944712,    0.728560
2471.986513,    0.739574
2473.022369,    0.750595
2474.065826,    0.761588
2475.107702,    0.772625
2476.146468,    0.783632
2477.187834,    0.794617
2478.228902,    0.805611
2479.270499,    0.816597
2480.318270,    0.827598
2481.366331,    0.838638
2482.418084,    0.849683
2483.470171,    0.860749
2484.521720,    0.871806
2485.575404,    0.882858
2486.631057,    0.893924
2487.687850,    0.905000
2488.744175,    0.916074
2489.803307,    0.927145
2490.861305,    0.938224
2491.922529,    0.949297
2492.982742,    0.960382
2494.042908,    0.971450
2495.101516,    0.982505
2496.167004,    0.993562
2497.230662,    1.004654
2498.296370,    1.015731
2499.365013,    1.026823
2500.433733,    1.037928
2501.499365,    1.049016
2502.566237,    1.060076
2503.628168,    1.071121
2504.700212,    1.082153
2505.776320,    1.093262
2506.850443,    1.104386
2507.928669,    1.115498
2509.008761,    1.126638
2510.086584,    1.137775
2511.164165,    1.148886
2512.244300,    1.159994
2513.326086,    1.171116
2514.410352,    1.182249
2515.497488,    1.193399
2516.579892,    1.204547
2517.663883,    1.215656
2518.752158,    1.226781
2519.837500,    1.237918
2520.928045,    1.249040
2522.024646,    1.260210
2523.120407,    1.271410
2524.209716,    1.282576
2525.308483,    1.293715
2526.404464,    1.304904
2527.500403,    1.316063
2528.600330,    1.327224
