Time, xLDot = m(hdotc - hdot)
 110.500000, 10907.439049
 111.000000, 10790.051178
 111.500000, 10673.890248
 112.000000, 10558.946282
 112.500000, 10445.208513
 113.000000, 10332.665622
 113.500000, 10221.305913
 114.000000, 10111.117445
 114.500000, 10002.088130
 115.000000, 9894.205803
 115.500000, 9787.458281
 116.000000, 9681.833399
 116.500000, 9577.319039
 117.000000, 9473.903157
 117.500000, 9371.573794
 118.000000, 9270.319087
 118.500000, 9170.127284
 119.000000, 9070.986741
 119.500000, 8972.885935
 120.000000, 8875.813458
 120.500000, 8779.758026
 121.000000, 8684.708478
 121.500000, 8590.653772
 122.000000, 8497.582994
 122.500000, 8405.485347
 123.000000, 8314.350161
 123.500000, 8224.166883
 124.000000, 8134.925084
 124.500000, 8046.614453
 125.000000, 7959.224796
 125.500000, 7872.746040
 126.000000, 7787.168225
 126.500000, 7702.481510
 127.000000, 7618.676164
 127.500000, 7535.742571
 128.000000, 7453.671229
 128.500000, 7372.452742
 129.000000, 7292.077828
 129.500000, 7212.537310
 130.000000, 7133.822119
 130.500000, 7055.923294
 131.000000, 6978.831975
 131.500000, 6902.539408
 132.000000, 6827.036942
 132.500000, 6752.316024
 133.000000, 6678.368204
 133.500000, 6605.185130
 134.000000, 6532.758548
 134.500000, 6461.080298
 135.000000, 6390.142319
 135.500000, 6319.936643
 136.000000, 6250.455393
 136.500000, 6181.690787
 137.000000, 6113.635133
 137.500000, 6046.280827
 138.000000, 5979.620357
 138.500000, 5913.646295
 139.000000, 5848.351302
 139.500000, 5783.728125
 140.000000, 5719.769592
 140.500000, 5656.468617
 141.000000, 5593.818197
 141.500000, 5531.811409
 142.000000, 5470.441409
 142.500000, 5409.701435
 143.000000, 5349.584802
 143.500000, 5290.084902
 144.000000, 5231.195204
 144.500000, 5172.909251
 145.000000, 5115.220663
 145.500000, 5058.123131
 146.000000, 5001.610419
 146.500000, 4945.676364
 147.000000, 4890.314872
 147.500000, 4835.519920
 148.000000, 4781.285553
 148.500000, 4727.605885
 149.000000, 4674.475097
 149.500000, 4621.887435
 150.000000, 4569.837212
 150.500000, 4518.318805
 151.000000, 4467.326655
 151.500000, 4416.855266
 152.000000, 4366.899204
 152.500000, 4317.453096
 153.000000, 4268.511630
 153.500000, 4220.069554
 154.000000, 4172.121675
 154.500000, 4124.662858
 155.000000, 4077.688026
 155.500000, 4031.192158
 156.000000, 3985.170291
 156.500000, 3939.617514
 157.000000, 3894.528975
 157.500000, 3849.899872
 158.000000, 3805.725458
 158.500000, 3762.001040
