Time, Emission H2O
  30.074222, 54373.917686
  30.174222, 54556.741996
  30.274222, 54739.658701
  30.374222, 54922.575407
  30.474222, 55105.492112
  30.574222, 55288.408818
  30.674222, 55471.325524
  30.774222, 55654.242229
  30.874222, 55837.158935
  30.974222, 56020.075640
  31.074222, 56202.992346
  31.174222, 56386.054926
  31.274222, 56569.202730
  31.374222, 56752.350534
  31.474222, 56935.498339
  31.574222, 57118.646143
  31.674222, 57301.793947
  31.774222, 57484.941752
  31.874222, 57668.089556
  31.974222, 57851.237360
  32.074222, 58034.385164
  32.111100, 58101.925987
  32.211100, 58285.266470
  32.311100, 58468.606953
  32.411100, 58651.947436
  32.511100, 58835.287920
  32.611100, 59018.628403
  32.711100, 59201.968886
  32.811100, 59385.309369
  32.911100, 59568.649852
  33.011100, 59751.990335
  33.111100, 59935.330818
  33.211100, 60118.761467
  33.311100, 60302.192115
  33.411100, 60485.622763
  33.511100, 60669.053412
  33.611100, 60852.484060
  33.711100, 61035.947058
  33.811100, 61219.410055
  33.911100, 61402.873053
  34.011100, 61586.336050
  34.111100, 61769.799048
  34.211100, 61953.275487
  34.311100, 62136.751925
  34.411100, 62320.228364
  34.511100, 62503.704803
  34.611100, 62687.181242
  34.711100, 62870.657680
  34.811100, 63054.134119
  34.911100, 63237.610558
  35.011100, 63421.086997
