Vfailure/VsTO, VRot/VsTO
   1.062663,    1.118276
   1.063363,    1.117928
   1.064064,    1.117580
   1.064765,    1.117231
   1.065465,    1.116883
   1.066166,    1.116535
   1.066867,    1.116186
   1.067568,    1.115838
   1.068268,    1.115489
   1.068969,    1.115141
   1.069670,    1.114793
   1.070370,    1.114444
   1.071071,    1.114096
   1.071772,    1.113748
   1.072472,    1.113399
   1.073173,    1.113051
   1.073874,    1.112703
   1.074575,    1.112354
   1.075275,    1.112006
   1.075976,    1.111658
   1.076677,    1.111309
   1.077377,    1.110961
   1.078078,    1.110613
   1.078779,    1.110264
   1.079479,    1.109916
   1.080180,    1.109568
   1.080881,    1.109219
   1.081582,    1.108871
   1.082282,    1.108523
   1.082983,    1.108174
   1.083684,    1.107826
   1.084384,    1.107477
   1.085085,    1.107129
   1.085786,    1.106781
   1.086486,    1.106432
   1.087187,    1.106084
   1.087888,    1.105736
   1.088589,    1.105387
   1.089289,    1.105039
   1.089990,    1.104691
   1.090691,    1.104342
   1.091391,    1.103994
   1.092092,    1.103646
   1.092793,    1.103297
   1.093493,    1.102949
   1.094194,    1.102601
   1.094895,    1.102252
   1.095596,    1.101904
   1.096296,    1.101556
   1.096997,    1.101207
   1.097698,    1.100859
   1.098398,    1.100511
   1.099099,    1.100162
   1.099800,    1.099814
   1.100501,    1.099465
   1.101201,    1.099117
   1.101902,    1.098769
   1.102603,    1.098420
   1.103303,    1.098072
   1.104004,    1.097724
   1.104705,    1.097375
   1.105405,    1.097027
   1.106106,    1.096679
   1.106807,    1.096330
   1.107508,    1.095982
   1.108208,    1.095634
   1.108909,    1.095285
   1.109610,    1.094937
   1.110310,    1.094589
   1.111011,    1.094240
   1.111712,    1.093892
   1.112412,    1.093544
   1.113113,    1.093195
   1.113814,    1.092847
   1.114515,    1.092498
   1.115215,    1.092150
   1.115916,    1.091802
   1.116617,    1.091453
   1.117317,    1.091105
   1.118018,    1.090757
   1.118719,    1.090408
   1.119419,    1.090060
   1.120120,    1.089712
