Ground distance, Fuel used
6150.429280,   10.476512
6169.081082,   10.508344
6187.732884,   10.540176
6206.384686,   10.572008
6225.037369,   10.603845
6243.690127,   10.635682
6262.342886,   10.667519
6280.995644,   10.699357
6299.648402,   10.731194
6318.301160,   10.763031
6336.953918,   10.794868
6355.606677,   10.826705
6374.259435,   10.858542
6392.912193,   10.890380
6411.565751,   10.922222
6430.219376,   10.954064
6448.873002,   10.985906
6467.526628,   11.017748
6486.180253,   11.049591
6504.833879,   11.081433
6523.487505,   11.113275
6542.141130,   11.145118
6560.794756,   11.176960
6579.448382,   11.208802
6598.102774,   11.240649
6616.757231,   11.272497
6635.411688,   11.304344
6654.066145,   11.336192
6672.720603,   11.368039
6691.375060,   11.399886
6710.029517,   11.431734
6728.683974,   11.463581
6747.338431,   11.495429
6765.992889,   11.527276
6784.648227,   11.559128
6803.303640,   11.590981
6821.959054,   11.622833
6840.614467,   11.654686
6859.269880,   11.686538
6877.925294,   11.718391
6896.580707,   11.750243
6915.236121,   11.782096
6933.891534,   11.813949
6952.546947,   11.845801
6971.203225,   11.877658
6989.859575,   11.909516
7008.515926,   11.941374
7027.172277,   11.973231
7045.828628,   12.005089
7064.484979,   12.036947
7083.141329,   12.068805
7101.797680,   12.100662
7120.454031,   12.132520
7139.110382,   12.164378
7157.767513,   12.196240
7176.424712,   12.228103
7195.081910,   12.259965
7213.739108,   12.291828
7232.396306,   12.323691
7251.053504,   12.355554
7269.710703,   12.387417
7288.367901,   12.419279
7307.025099,   12.451142
7325.682297,   12.483005
7344.340244,   12.514872
7362.998254,   12.546740
7381.656264,   12.578608
7400.314274,   12.610476
7418.972284,   12.642344
7437.630294,   12.674212
7456.288304,   12.706080
7474.946314,   12.737947
7493.604324,   12.769815
7512.262334,   12.801683
7530.921209,   12.833556
7549.580158,   12.865429
7568.239107,   12.897302
7586.898055,   12.929175
7605.557004,   12.961048
7624.215953,   12.992921
7642.874902,   13.024794
7661.533851,   13.056667
7680.192800,   13.088540
7698.851748,   13.120413
7717.511548,   13.152290
7736.171420,   13.184168
7754.831292,   13.216046
7773.491165,   13.247924
7792.151037,   13.279802
7810.810909,   13.311681
7829.470781,   13.343559
7848.130653,   13.375437
7866.790526,   13.407315
7885.450398,   13.439193
7904.111042,   13.471076
7922.771752,   13.502959
7941.432462,   13.534842
7960.093172,   13.566725
7978.753882,   13.598608
7997.414592,   13.630491
8016.075302,   13.662374
8034.736012,   13.694257
8053.396722,   13.726141
8072.057432,   13.758024
8090.718886,   13.789912
8109.380403,   13.821800
8128.041921,   13.853688
8146.703438,   13.885576
8165.364956,   13.917464
8184.026473,   13.949353
8202.687990,   13.981241
8221.349508,   14.013129
8240.011025,   14.045017
8258.672543,   14.076905
8277.334927,   14.108798
8295.997385,   14.140691
8314.659843,   14.172585
8333.322300,   14.204478
8351.984758,   14.236371
8370.647216,   14.268265
8389.309674,   14.300158
8407.972132,   14.332051
8426.634590,   14.363944
8445.297047,   14.395838
8463.960363,   14.427736
8482.623752,   14.459634
8501.287140,   14.491532
8519.950529,   14.523431
8538.613917,   14.555329
8557.277306,   14.587227
8575.940695,   14.619126
8594.604083,   14.651024
8613.267472,   14.682922
8631.930861,   14.714821
8650.595033,   14.746724
8669.259273,   14.778627
8687.923512,   14.810531
8706.587751,   14.842434
8725.251991,   14.874337
8743.916230,   14.906241
8762.580469,   14.938144
8781.244709,   14.970048
8799.908948,   15.001951
8818.573187,   15.033854
8837.238187,   15.065762
8855.903252,   15.097671
8874.568317,   15.129579
8893.233381,   15.161488
8911.898446,   15.193396
8930.563511,   15.225305
8949.228575,   15.257213
8967.893640,   15.289121
8986.558705,   15.321030
9005.223770,   15.352938
9023.889721,   15.384851
9042.555749,   15.416765
9061.221776,   15.448678
9079.887804,   15.480592
9098.553831,   15.512505
9117.219858,   15.544419
9135.885886,   15.576332
9154.551913,   15.608246
9173.217940,   15.640159
9191.883968,   15.672073
9210.550876,   15.703991
9229.217860,   15.735909
9247.884843,   15.767828
9266.551827,   15.799746
9285.218810,   15.831665
9303.885794,   15.863584
9322.552777,   15.895502
9341.219761,   15.927421
9359.886744,   15.959339
9378.553728,   15.991258
9397.221520,   16.023181
9415.889382,   16.055104
9434.557243,   16.087028
9453.225105,   16.118952
9471.892966,   16.150875
9490.560827,   16.182799
9509.228689,   16.214722
9527.896550,   16.246646
9546.564412,   16.278569
9565.232273,   16.310493
9583.900921,   16.342421
9602.569635,   16.374350
9621.238350,   16.406278
9639.907065,   16.438207
9658.575779,   16.470136
9677.244494,   16.502064
9695.913209,   16.533993
9714.581923,   16.565921
9733.250638,   16.597850
9751.919353,   16.629778
9770.588980,   16.661712
9789.258684,   16.693645
9807.928389,   16.725579
9826.598094,   16.757513
9845.267799,   16.789446
9863.937503,   16.821380
9882.607208,   16.853313
9901.276913,   16.885247
9919.946618,   16.917181
9938.616323,   16.949114
9957.286932,   16.981052
9975.957619,   17.012991
9994.628305,   17.044930
10013.298992,   17.076868
10031.969679,   17.108807
10050.640366,   17.140746
10069.311052,   17.172684
10087.981739,   17.204623
10106.652426,   17.236562
10125.323112,   17.268500
10143.994629,   17.300444
10162.666217,   17.332387
10181.337804,   17.364331
10200.009392,   17.396275
10218.680979,   17.428218
10237.352567,   17.460162
10256.024154,   17.492106
10274.695742,   17.524049
10293.367329,   17.555993
10312.038917,   17.587937
10330.711308,   17.619885
10349.383768,   17.651833
10368.056228,   17.683782
10386.728689,   17.715731
10405.401149,   17.747679
10424.073609,   17.779628
10442.746069,   17.811577
10461.418529,   17.843525
10480.090989,   17.875474
10498.763449,   17.907423
10517.436836,   17.939376
10536.110302,   17.971330
10554.783768,   18.003283
10573.457233,   18.035237
10592.130699,   18.067191
10610.804165,   18.099144
10629.477631,   18.131098
10648.151096,   18.163052
10666.824562,   18.195005
10685.498028,   18.226959
10704.172409,   18.258917
10722.846868,   18.290876
10741.521326,   18.322835
10760.195785,   18.354793
10778.870244,   18.386752
10797.544703,   18.418711
10816.219162,   18.450669
10834.893620,   18.482628
10853.568079,   18.514587
10872.242538,   18.546545
10890.917831,   18.578509
10909.593195,   18.610472
10928.268559,   18.642436
10946.943924,   18.674399
10965.619288,   18.706363
10984.294652,   18.738327
11002.970016,   18.770290
11021.645380,   18.802254
11040.320745,   18.834218
11058.996109,   18.866181
11077.672274,   18.898150
11096.348508,   18.930118
11115.024741,   18.962087
11133.700974,   18.994056
11152.377208,   19.026024
11171.053441,   19.057993
11189.729675,   19.089961
11208.405908,   19.121930
11227.082142,   19.153899
11245.758375,   19.185867
11264.435523,   19.217840
11283.112748,   19.249814
11301.789974,   19.281788
11320.467199,   19.313761
11339.144424,   19.345735
11357.821650,   19.377709
11376.498875,   19.409682
11395.176101,   19.441656
11413.853326,   19.473629
11432.530552,   19.505603
11451.208676,   19.537581
11469.886877,   19.569560
11488.565077,   19.601538
11507.243278,   19.633517
11525.921479,   19.665495
11544.599680,   19.697474
11563.277881,   19.729453
11581.956081,   19.761431
11600.634282,   19.793410
11619.312483,   19.825388
11637.991500,   19.857372
11656.670587,   19.889355
11675.349674,   19.921339
11694.028761,   19.953322
11712.707848,   19.985306
11731.386934,   20.017289
11750.066021,   20.049273
11768.745108,   20.081256
11787.424195,   20.113240
11806.103282,   20.145223
11824.783152,   20.177211
11843.463089,   20.209200
11862.143027,   20.241188
11880.822964,   20.273177
11899.502901,   20.305165
11918.182838,   20.337154
11936.862775,   20.369142
11955.542713,   20.401131
11974.222650,   20.433119
11992.902587,   20.465108
12011.583424,   20.497101
12030.264338,   20.529094
12048.945251,   20.561088
12067.626165,   20.593081
12086.307079,   20.625074
12104.987992,   20.657068
12123.668906,   20.689061
12142.349819,   20.721055
12161.030733,   20.753048
12179.711647,   20.785042
12198.393449,   20.817040
12217.075327,   20.849038
12235.757205,   20.881036
12254.439083,   20.913035
12273.120961,   20.945033
12291.802839,   20.977032
12310.484717,   21.009030
12329.166595,   21.041028
12347.848473,   21.073027
12366.530350,   21.105025
12385.213039,   21.137028
12403.895797,   21.169031
12422.578555,   21.201035
12441.261313,   21.233038
12459.944071,   21.265041
12478.626829,   21.297044
12497.309587,   21.329048
12515.992345,   21.361051
12534.675103,   21.393054
12553.357861,   21.425058
12572.041403,   21.457065
12590.725011,   21.489074
12609.408619,   21.521082
12628.092228,   21.553090
12646.775836,   21.585098
12665.459444,   21.617107
12684.143052,   21.649115
12702.826660,   21.681123
12721.510269,   21.713131
12740.193877,   21.745139
12758.878390,   21.777152
12777.562981,   21.809165
12796.247572,   21.841178
12814.932162,   21.873192
12833.616753,   21.905205
12852.301344,   21.937218
12870.985934,   21.969231
12889.670525,   22.001244
12908.355116,   22.033257
12927.039706,   22.065270
12945.725196,   22.097288
12964.410763,   22.129306
12983.096330,   22.161324
13001.781897,   22.193342
13020.467463,   22.225360
13039.153030,   22.257379
13057.838597,   22.289397
13076.524164,   22.321415
13095.209730,   22.353433
13113.895297,   22.385451
13132.581690,   22.417473
13151.268154,   22.449496
13169.954618,   22.481519
13188.641082,   22.513542
13207.327545,   22.545565
13226.014009,   22.577588
13244.700473,   22.609611
13263.386937,   22.641634
13282.073400,   22.673657
13300.759864,   22.705680
13319.447010,   22.737708
13338.134214,   22.769735
13356.821418,   22.801763
13375.508621,   22.833791
13394.195825,   22.865819
13412.883029,   22.897847
13431.570233,   22.929875
13450.257437,   22.961902
13468.944641,   22.993930
13487.631844,   23.025958
13506.319671,   23.057990
13525.007551,   23.090023
13543.695431,   23.122056
13562.383311,   23.154088
13581.071191,   23.186121
13599.759071,   23.218154
13618.446951,   23.250186
13637.134832,   23.282219
13655.822712,   23.314252
13674.510592,   23.346284
13693.199200,   23.378322
13711.887870,   23.410359
13730.576541,   23.442397
13749.265211,   23.474434
13767.953882,   23.506472
13786.642552,   23.538509
13805.331223,   23.570547
13824.019893,   23.602584
13842.708564,   23.634622
13861.397234,   23.666659
13880.086544,   23.698701
13898.775908,   23.730744
13917.465272,   23.762786
13936.154637,   23.794828
13954.844001,   23.826871
13973.533365,   23.858913
13992.222729,   23.890955
14010.912093,   23.922998
14029.601457,   23.955040
14048.290822,   23.987083
14066.980938,   24.019129
14085.671119,   24.051177
14104.361300,   24.083224
14123.051480,   24.115271
14141.741661,   24.147318
14160.431842,   24.179365
14179.122023,   24.211413
14197.812203,   24.243460
14216.502384,   24.275507
