Ground distance, Rate of Climb
 162.571882,    0.000000
 164.319760,    0.000000
 166.077287,    0.000000
 167.840734,    0.000000
 169.621083,    0.000000
 171.414142,    0.000000
 173.216079,    0.000000
 175.029147,    0.000000
 176.850852,    0.000000
 178.683618,    0.000000
 180.533857,    0.000000
 182.392026,    0.000000
 184.262122,    0.000000
 186.149899,    0.000000
 186.528728,    0.000000
 186.784117,    0.000000
 186.978417,    0.000000
 186.982931,    0.000000
 186.984851,    0.000000
 186.987027,    0.000000
 187.005586,    0.000000
 187.108304,    0.000000
 187.642223,    0.000000
 189.529837,    0.000000
 191.440041,    0.000000
 193.368129,    0.000000
 195.301248,    0.000000
 197.257704,    0.000000
 199.227397,    0.000000
 201.205068,    0.000000
 203.199479,    0.000000
 205.197240,    0.000000
 207.203823,    0.000000
 209.229941,    0.000000
 211.266102,    0.000000
 213.314850,    0.000000
 215.375444,    0.000000
 217.444872,    0.000000
 219.525395,    0.000000
 221.620290,    0.000000
 223.725964,    0.000000
 225.846365,    0.000000
 227.977707,    0.000000
 230.122322,    0.000000
 232.281589,    0.000000
 234.447397,    0.000000
 236.634714,    0.000000
 238.830395,    0.000000
 241.039469,    0.000000
 243.252892,    0.000000
 245.481109,    0.000000
 247.723521,    0.000000
 248.174311,    0.000000
 249.864712,    0.000000
 249.883710,    0.000000
 249.892778,    0.000000
 249.900250,    0.000000
 249.903768,    0.000000
 249.907286,    0.000000
 249.942465,    0.000000
 250.158788,    0.000000
 250.934757,    0.000000
 253.189054,    0.000000
 255.480215,    0.000000
 257.782232,    0.000000
 260.093775,    0.000000
 262.417794,    0.000000
 264.754560,    0.000000
 267.104968,    0.000000
 269.468777,    0.000000
 271.841221,    0.000000
 274.227261,    0.000000
 276.622599,    0.000000
 279.034034,    0.000000
 281.460140,    0.000000
 283.901444,    0.000000
 286.353794,    0.000000
 288.817329,    0.000000
 291.289614,    0.000000
 293.773413,    0.000000
 296.272102,    0.000000
 298.789629,    0.000000
 301.317443,    0.000000
 303.854953,    0.000000
 306.409248,    0.000000
 308.969700,    0.000000
 311.550516,    0.000000
 314.142978,    0.000000
 316.751217,    0.000000
 319.365126,    0.000000
 321.998973,    0.000000
 322.527051,    0.000000
 322.958768,    0.000000
 323.304852,    0.000000
 323.569891,    0.000000
 323.754250,    0.000000
 323.900389,    0.000000
 324.047067,    0.000000
 324.166677,    0.000000
 324.194612,    0.000000
 324.197960,    0.000000
 324.201753,    0.000000
 324.239683,    0.000000
 324.448902,    0.000000
 325.295758,    0.000000
 327.957227,    0.000000
 330.627526,    0.000000
 333.310759,    0.000000
 336.008175,    0.000000
 338.717420,    0.000000
 341.445387,    0.000000
 344.187312,    0.000000
 346.935033,    0.000000
 349.698706,    0.000000
 352.467749,    0.000000
 355.260598,    0.000000
 358.061651,    0.000000
 360.877017,    0.000000
 363.698712,    0.000000
 366.551772,    0.000000
 369.404041,    0.000000
 372.269597,    0.000000
 375.150868,    0.000000
 378.043670,    0.000000
 380.950004,    0.000000
 383.866011,    0.000000
 386.797972,    0.000000
 389.746884,    0.000000
 392.710289,    0.000000
 395.681663,    0.000000
 398.670498,    0.000000
 401.666012,    0.000000
 404.671499,    0.000000
 407.701730,    0.000000
 410.739992,    0.000000
 410.927796,    0.000000
 411.033629,    0.000000
 411.109042,    0.000000
 411.177084,    0.000000
 411.659799,    0.000000
 413.618558,    0.000000
 416.654523,    0.000000
 419.738074,    0.000000
 422.828872,    0.000000
 425.936501,    0.000000
 429.050922,    0.000000
 432.185746,    0.000000
 435.332127,    0.000000
 438.490898,    0.000000
 441.657800,    0.000000
 444.843152,    0.000000
 448.033894,    0.000000
 451.249682,    0.000000
 454.474569,    0.000000
 457.710495,    0.000000
 460.963553,    0.000000
 464.228999,    0.000000
 467.510202,    0.000000
 470.802838,    0.000000
 474.110703,    0.000000
 477.423862,    0.000000
 480.757711,    0.000000
 484.107206,    0.000000
 487.474599,    0.000000
 490.849409,    0.000000
 494.245449,    0.000000
 497.651102,    0.000000
 501.066669,    0.000000
 504.490356,    0.000000
 507.938610,    0.000000
 511.394223,    0.000000
 511.533113,    0.000000
 511.666450,    0.000000
 511.820711,    0.000000
 511.859659,    0.000000
 511.869419,    0.000000
 511.900721,    0.000000
 512.213782,    0.000000
 513.974232,    0.000000
 517.415884,    0.000000
 520.909766,    0.000000
 524.414722,    0.000000
 527.939507,    0.000000
 531.470374,    0.000000
 535.016109,    0.000000
 538.570812,    0.000000
 542.142388,    0.000000
 545.730660,    0.000000
 549.331757,    0.000000
 552.943824,    0.000000
 556.565093,    0.000000
 560.203488,    0.000000
 563.858859,    0.000000
 567.528529,    0.000000
 571.201637,    0.000000
 574.905722,    0.000000
 578.611610,    0.000000
 582.332227,    0.000000
 586.072458,    0.000000
 589.825096,    0.000000
 593.591969,    0.000000
 597.358807,    0.000000
 601.153947,    0.000000
 604.964361,    0.000000
 608.789651,    0.000000
 612.620116,    0.000000
 616.466953,    0.000000
 620.324427,    0.000000
 624.205803,    0.000000
 628.099907,    0.000000
 628.290605,    0.000000
 628.329652,    0.000000
 628.353848,    0.000000
 628.371102,    0.000000
 628.380478,    0.000000
 628.386546,    0.000000
 628.388527,    0.000000
 628.390729,    0.000000
 628.412743,    0.000000
 628.597240,    0.000000
 629.517500,    0.000000
 633.387811,    0.000000
 637.297822,    0.000000
 641.224446,    0.000000
 645.164738,    0.000000
 649.113764,    0.000000
 653.073283,    0.000000
 653.999930,    0.000000
 657.055764,    0.000000
 661.043723,    0.000000
 665.025666,    0.000000
 669.004154,    0.000000
 672.987978,    0.000000
 676.961715,    0.000000
 680.932609,    0.000000
 684.891567,    0.000000
